sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3846,4129,283,9,47,127
FALSE,FALSE,4718,4986,268,9,48,92
FALSE,FALSE,4771,5034,263,9,47,127
FALSE,FALSE,5723,6001,278,9,48,98
FALSE,FALSE,5724,6001,277,9,47,127
FALSE,FALSE,6629,6907,278,9,48,98
FALSE,FALSE,6695,6962,267,9,47,127
FALSE,FALSE,7594,7876,282,9,48,108
FALSE,FALSE,7652,7920,268,9,47,127
FALSE,FALSE,8534,8780,246,9,48,74
FALSE,FALSE,8624,8881,257,9,47,127
FALSE,FALSE,9542,9793,251,9,48,78
FALSE,FALSE,9591,9839,248,9,47,127
FALSE,FALSE,10504,10752,248,9,48,92
FALSE,FALSE,10511,10798,287,9,47,127
FALSE,FALSE,11494,11755,261,9,48,89
FALSE,FALSE,11509,11755,246,9,47,127
FALSE,FALSE,12439,12723,284,9,48,80
FALSE,FALSE,12468,12723,255,9,47,127
FALSE,FALSE,13313,13585,272,9,48,86
FALSE,FALSE,13417,13682,265,9,47,127
FALSE,FALSE,14330,14596,266,9,48,98
FALSE,FALSE,14366,14646,280,9,47,127
FALSE,FALSE,15328,15605,277,9,48,90
FALSE,FALSE,15377,15649,272,9,47,127
FALSE,FALSE,16312,16564,252,9,48,90
FALSE,FALSE,16313,16564,251,9,47,127
FALSE,FALSE,17245,17524,279,9,48,104
FALSE,FALSE,17291,17567,276,9,47,127
FALSE,FALSE,18187,18437,250,9,48,102
FALSE,FALSE,18251,18530,279,9,47,127
FALSE,FALSE,19166,19442,276,9,48,111
FALSE,FALSE,19206,19442,236,9,47,127
FALSE,FALSE,20119,20357,238,9,48,96
FALSE,FALSE,20189,20460,271,9,47,127
FALSE,FALSE,21114,21369,255,9,47,127
FALSE,FALSE,22046,22327,281,9,48,122
FALSE,FALSE,22978,23242,264,9,48,117
FALSE,FALSE,23023,23290,267,9,47,127
FALSE,FALSE,23877,24147,270,9,48,108
FALSE,FALSE,23978,24249,271,9,47,127
FALSE,FALSE,24835,25116,281,9,48,110
FALSE,FALSE,24946,25208,262,9,47,127
FALSE,FALSE,25802,26075,273,9,48,96
FALSE,FALSE,25850,26123,273,9,47,127
FALSE,FALSE,26756,27038,282,9,48,90
FALSE,FALSE,26852,27127,275,9,47,127
FALSE,FALSE,27748,27996,248,9,48,84
FALSE,FALSE,27814,28085,271,9,47,127
FALSE,FALSE,28759,29001,242,9,48,102
FALSE,FALSE,28812,29099,287,9,47,127
FALSE,FALSE,29706,29960,254,9,47,127
FALSE,FALSE,30662,30928,266,9,48,98
FALSE,FALSE,30681,30928,247,9,47,127
FALSE,FALSE,31537,31788,251,9,48,78
FALSE,FALSE,31675,31932,257,9,47,127
FALSE,FALSE,32497,32748,251,9,48,83
FALSE,FALSE,32655,32941,286,9,47,127
FALSE,FALSE,33456,33706,250,9,48,96
FALSE,FALSE,33590,33849,259,9,47,122
FALSE,FALSE,34386,34665,279,9,48,90
FALSE,FALSE,35282,35535,253,9,48,102
FALSE,FALSE,35282,35535,253,9,47,127
FALSE,FALSE,36131,36397,266,9,48,89
FALSE,FALSE,36235,36495,260,9,47,127
FALSE,FALSE,37046,37308,262,9,48,98
FALSE,FALSE,37169,37452,283,9,47,127
FALSE,FALSE,37952,38221,269,9,48,84
FALSE,FALSE,38060,38323,263,9,47,127
FALSE,FALSE,38880,39135,255,9,48,96
FALSE,FALSE,38942,39179,237,9,47,127
FALSE,FALSE,39813,40098,285,9,48,98
FALSE,FALSE,39910,40196,286,9,47,127
FALSE,FALSE,40710,40964,254,9,48,107
FALSE,FALSE,40905,41156,251,9,47,117
FALSE,FALSE,41657,41926,269,9,48,87
FALSE,FALSE,41755,42016,261,9,47,127
FALSE,FALSE,42539,42783,244,9,48,84
FALSE,FALSE,43402,43654,252,9,48,92
FALSE,FALSE,44250,44513,263,9,48,90
FALSE,FALSE,45143,45427,284,9,48,95
FALSE,FALSE,45917,46196,279,9,47,127
FALSE,FALSE,46780,47055,275,9,48,87
FALSE,FALSE,46808,47055,247,9,47,127
FALSE,FALSE,47599,47881,282,9,48,90
FALSE,FALSE,47681,47971,290,9,47,127
FALSE,FALSE,48491,48739,248,9,48,95
FALSE,FALSE,48619,48884,265,9,47,127
FALSE,FALSE,49426,49698,272,9,48,96
FALSE,FALSE,49515,49800,285,9,47,127
FALSE,FALSE,50287,50569,282,9,48,80
FALSE,FALSE,50385,50663,278,9,47,127
FALSE,FALSE,51225,51482,257,9,48,99
FALSE,FALSE,51276,51527,251,9,47,127
FALSE,FALSE,52112,52387,275,9,48,92
FALSE,FALSE,52185,52441,256,9,47,127
FALSE,FALSE,52983,53257,274,9,48,101
FALSE,FALSE,53056,53301,245,9,47,127
FALSE,FALSE,53867,54118,251,9,48,101
FALSE,FALSE,54727,54984,257,9,47,127
FALSE,FALSE,55560,55800,240,9,48,104
FALSE,FALSE,55671,55944,273,9,47,127
FALSE,FALSE,56414,56669,255,9,48,102
FALSE,FALSE,56520,56759,239,9,47,127
FALSE,FALSE,57272,57530,258,9,47,127
