sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,973,1227,254,9,47,42
FALSE,FALSE,7640,7904,264,9,47,87
FALSE,FALSE,7654,7904,250,9,48,65
FALSE,FALSE,8500,8778,278,9,48,99
FALSE,FALSE,8600,8867,267,9,47,96
FALSE,FALSE,9527,9779,252,9,48,89
FALSE,FALSE,9603,9871,268,9,47,77
FALSE,FALSE,10495,10740,245,9,48,83
FALSE,FALSE,10573,10840,267,9,47,90
FALSE,FALSE,11540,11809,269,9,48,72
FALSE,FALSE,11632,11899,267,9,47,87
FALSE,FALSE,12535,12811,276,9,47,113
FALSE,FALSE,12559,12859,300,9,48,78
FALSE,FALSE,12685,12811,126,9,47,10
FALSE,FALSE,13424,13681,257,9,47,99
FALSE,FALSE,13442,13716,274,9,48,87
FALSE,FALSE,13520,13681,161,9,47,27
FALSE,FALSE,14351,14643,292,9,48,84
FALSE,FALSE,14377,14643,266,9,47,98
FALSE,FALSE,15324,15591,267,9,48,77
FALSE,FALSE,15394,15643,249,9,47,96
FALSE,FALSE,15482,15643,161,9,47,12
FALSE,FALSE,16347,16605,258,9,47,101
FALSE,FALSE,16356,16605,249,9,48,72
FALSE,FALSE,17249,17516,267,9,47,95
FALSE,FALSE,17321,17553,232,9,48,77
FALSE,FALSE,17338,17516,178,9,47,18
FALSE,FALSE,18224,18481,257,9,47,98
FALSE,FALSE,18230,18481,251,9,48,87
FALSE,FALSE,19147,19426,279,9,47,92
FALSE,FALSE,19166,19426,260,9,48,87
FALSE,FALSE,20125,20392,267,9,48,68
FALSE,FALSE,20173,20451,278,9,47,90
FALSE,FALSE,21119,21395,276,9,48,75
FALSE,FALSE,21127,21395,268,9,47,102
FALSE,FALSE,22064,22326,262,9,47,80
FALSE,FALSE,22078,22326,248,9,48,61
FALSE,FALSE,23023,23268,245,9,47,108
FALSE,FALSE,23045,23330,285,9,48,86
FALSE,FALSE,23954,24235,281,9,47,90
FALSE,FALSE,23959,24235,276,9,48,75
FALSE,FALSE,24900,25140,240,9,47,108
FALSE,FALSE,24949,25229,280,9,48,80
FALSE,FALSE,25853,26107,254,9,47,78
FALSE,FALSE,25910,26161,251,9,48,66
FALSE,FALSE,26818,27066,248,9,47,111
FALSE,FALSE,26892,27166,274,9,48,75
FALSE,FALSE,27793,28069,276,9,47,110
FALSE,FALSE,27860,28127,267,9,48,46
FALSE,FALSE,27881,28069,188,9,47,16
FALSE,FALSE,28735,28997,262,9,47,110
FALSE,FALSE,28760,29040,280,9,48,80
FALSE,FALSE,28796,28997,201,9,47,27
FALSE,FALSE,29687,29944,257,9,47,86
FALSE,FALSE,29716,29944,228,9,48,75
FALSE,FALSE,30629,30912,283,9,47,99
FALSE,FALSE,30668,30969,301,9,48,49
FALSE,FALSE,30713,30912,199,9,47,19
FALSE,FALSE,31626,31874,248,9,48,78
FALSE,FALSE,31633,31915,282,9,47,99
FALSE,FALSE,32532,32786,254,9,48,71
FALSE,FALSE,32599,32879,280,9,47,107
FALSE,FALSE,33512,33789,277,9,47,104
FALSE,FALSE,33566,33848,282,9,48,58
FALSE,FALSE,34487,34753,266,9,47,98
FALSE,FALSE,34536,34814,278,9,48,57
FALSE,FALSE,35461,35720,259,9,47,113
FALSE,FALSE,35463,35720,257,9,48,61
FALSE,FALSE,35548,35720,172,9,47,18
FALSE,FALSE,36419,36680,261,9,47,99
FALSE,FALSE,36447,36715,268,9,48,84
FALSE,FALSE,37356,37623,267,9,47,101
FALSE,FALSE,37387,37623,236,9,48,80
FALSE,FALSE,37435,37623,188,9,47,33
FALSE,FALSE,38317,38588,271,9,47,92
FALSE,FALSE,38327,38588,261,9,48,90
FALSE,FALSE,38395,38588,193,9,47,16
FALSE,FALSE,39288,39559,271,9,48,84
FALSE,FALSE,39295,39559,264,9,47,87
FALSE,FALSE,40209,40462,253,9,47,104
FALSE,FALSE,40248,40521,273,9,48,71
FALSE,FALSE,40323,40462,139,9,47,9
FALSE,FALSE,41177,41430,253,9,47,102
FALSE,FALSE,41182,41488,306,9,48,74
FALSE,FALSE,41275,41430,155,9,47,12
FALSE,FALSE,42126,42393,267,9,47,110
FALSE,FALSE,42126,42393,267,9,48,68
FALSE,FALSE,42198,42393,195,9,47,33
FALSE,FALSE,43038,43303,265,9,47,90
FALSE,FALSE,43062,43360,298,9,48,63
FALSE,FALSE,43954,44208,254,9,47,92
FALSE,FALSE,44021,44208,187,9,47,30
FALSE,FALSE,44037,44307,270,9,48,63
FALSE,FALSE,44919,45178,259,9,47,99
FALSE,FALSE,44979,45236,257,9,48,80
FALSE,FALSE,44988,45178,190,9,47,34
FALSE,FALSE,45909,46181,272,9,47,107
FALSE,FALSE,45913,46181,268,9,48,49
FALSE,FALSE,45980,46181,201,9,47,37
FALSE,FALSE,46852,47107,255,9,47,89
FALSE,FALSE,46878,47144,266,9,48,80
FALSE,FALSE,46884,47107,223,9,47,40
FALSE,FALSE,47813,48054,241,9,48,68
FALSE,FALSE,47842,48103,261,9,47,102
FALSE,FALSE,48756,49014,258,9,47,80
FALSE,FALSE,48813,49081,268,9,48,96
FALSE,FALSE,49739,50017,278,9,47,101
FALSE,FALSE,49742,50017,275,9,48,83
FALSE,FALSE,50706,50979,273,9,47,95
FALSE,FALSE,50710,50979,269,9,48,80
FALSE,FALSE,51684,51948,264,9,48,74
FALSE,FALSE,51692,51948,256,9,47,92
FALSE,FALSE,52596,52854,258,9,47,87
FALSE,FALSE,52647,52915,268,9,48,95
FALSE,FALSE,53565,53821,256,9,48,72
FALSE,FALSE,53566,53821,255,9,47,111
FALSE,FALSE,54523,54787,264,9,47,99
FALSE,FALSE,54552,54823,271,9,48,89
FALSE,FALSE,55523,55790,267,9,48,89
FALSE,FALSE,55525,55790,265,9,47,90
FALSE,FALSE,56437,56700,263,9,47,98
FALSE,FALSE,56491,56700,209,9,47,42
FALSE,FALSE,56495,56757,262,9,48,63
FALSE,FALSE,57398,57663,265,9,48,72
FALSE,FALSE,57450,57725,275,9,47,96
FALSE,FALSE,57484,57725,241,9,47,45
FALSE,FALSE,58349,58629,280,9,48,65
FALSE,FALSE,58398,58662,264,9,47,99
FALSE,FALSE,59340,59598,258,9,47,102
FALSE,FALSE,59356,59624,268,9,48,92
FALSE,FALSE,60310,60534,224,9,48,90
FALSE,FALSE,60338,60592,254,9,47,104
FALSE,FALSE,60388,60592,204,9,47,52
FALSE,FALSE,61307,61562,255,9,48,90
FALSE,FALSE,61316,61595,279,9,47,92
FALSE,FALSE,62276,62523,247,9,48,80
FALSE,FALSE,62300,62565,265,9,47,96
FALSE,FALSE,63247,63527,280,9,47,104
FALSE,FALSE,63252,63527,275,9,48,86
FALSE,FALSE,64222,64496,274,9,48,89
FALSE,FALSE,64239,64496,257,9,47,84
FALSE,FALSE,65154,65432,278,9,48,87
FALSE,FALSE,65172,65432,260,9,47,95
FALSE,FALSE,66140,66401,261,9,48,77
FALSE,FALSE,66146,66401,255,9,47,90
FALSE,FALSE,67089,67362,273,9,48,92
FALSE,FALSE,67172,67404,232,9,47,90
FALSE,FALSE,68028,68273,245,9,47,95
FALSE,FALSE,68105,68366,261,9,48,96
FALSE,FALSE,69056,69336,280,9,48,92
FALSE,FALSE,69081,69336,255,9,47,99
FALSE,FALSE,70025,70302,277,9,47,99
FALSE,FALSE,70046,70302,256,9,48,84
FALSE,FALSE,70958,71208,250,9,48,77
FALSE,FALSE,70996,71267,271,9,47,87
FALSE,FALSE,71909,72174,265,9,47,108
FALSE,FALSE,71924,72174,250,9,48,68
FALSE,FALSE,72825,73083,258,9,47,110
FALSE,FALSE,72879,73138,259,9,48,89
FALSE,FALSE,72882,73083,201,9,47,58
FALSE,FALSE,73802,74047,245,9,47,96
FALSE,FALSE,73802,74086,284,9,48,92
FALSE,FALSE,74760,75013,253,9,47,90
FALSE,FALSE,74760,75013,253,9,48,77
FALSE,FALSE,75679,75959,280,9,47,107
FALSE,FALSE,75691,75959,268,9,48,78
FALSE,FALSE,76655,76922,267,9,48,80
FALSE,FALSE,76658,76922,264,9,47,108
FALSE,FALSE,76722,76922,200,9,47,45
FALSE,FALSE,77602,77881,279,9,47,98
FALSE,FALSE,77632,77881,249,9,48,74
FALSE,FALSE,78550,78848,298,9,48,83
FALSE,FALSE,78596,78848,252,9,47,98
FALSE,FALSE,79508,79753,245,9,48,80
FALSE,FALSE,79527,79797,270,9,47,101
FALSE,FALSE,80459,80723,264,9,48,98
FALSE,FALSE,80460,80723,263,9,47,92
FALSE,FALSE,81358,81628,270,9,47,86
FALSE,FALSE,81393,81670,277,9,48,80
FALSE,FALSE,82358,82632,274,9,47,101
FALSE,FALSE,82384,82632,248,9,48,78
FALSE,FALSE,83337,83600,263,9,48,77
FALSE,FALSE,83342,83600,258,9,47,89
FALSE,FALSE,84311,84568,257,9,48,90
FALSE,FALSE,84332,84603,271,9,47,84
FALSE,FALSE,85261,85530,269,9,47,95
FALSE,FALSE,85271,85530,259,9,48,77
FALSE,FALSE,86197,86478,281,9,47,95
FALSE,FALSE,86251,86530,279,9,48,74
FALSE,FALSE,87144,87406,262,9,47,83
FALSE,FALSE,87181,87444,263,9,48,84
FALSE,FALSE,88115,88350,235,9,47,90
FALSE,FALSE,88118,88402,284,9,48,102
FALSE,FALSE,89027,89309,282,9,47,95
FALSE,FALSE,89065,89367,302,9,48,101
FALSE,FALSE,90007,90275,268,9,48,92
FALSE,FALSE,90033,90312,279,9,47,101
FALSE,FALSE,90930,91184,254,9,47,101
FALSE,FALSE,90944,91240,296,9,48,77
