sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,453,1002,549,9,48,98
FALSE,FALSE,1811,2355,544,9,47,84
FALSE,FALSE,2957,3500,543,9,48,61
FALSE,FALSE,3363,3870,507,9,47,78
FALSE,FALSE,4717,5230,513,9,47,96
FALSE,FALSE,4837,5310,473,9,48,102
FALSE,FALSE,6681,7247,566,9,48,99
FALSE,FALSE,6723,7247,524,9,47,95
FALSE,FALSE,8651,9174,523,9,47,66
FALSE,FALSE,10459,10995,536,9,47,96
FALSE,FALSE,11531,12047,516,9,48,108
FALSE,FALSE,12430,13018,588,9,47,99
FALSE,FALSE,13437,13974,537,9,48,84
FALSE,FALSE,14218,14739,521,9,47,96
FALSE,FALSE,15292,15790,498,9,48,84
FALSE,FALSE,16347,16843,496,9,47,113
FALSE,FALSE,17334,17799,465,9,48,107
FALSE,FALSE,18239,18772,533,9,47,110
FALSE,FALSE,19182,19716,534,9,48,98
FALSE,FALSE,20163,20689,526,9,47,96
FALSE,FALSE,21103,21658,555,9,48,89
FALSE,FALSE,22090,22596,506,9,47,57
FALSE,FALSE,23093,23662,569,9,48,87
FALSE,FALSE,23988,24537,549,9,47,102
FALSE,FALSE,24978,25508,530,9,48,84
FALSE,FALSE,25938,26463,525,9,47,107
FALSE,FALSE,26865,27409,544,9,48,77
FALSE,FALSE,27719,28283,564,9,47,90
FALSE,FALSE,28736,29254,518,9,48,87
FALSE,FALSE,29727,30274,547,9,47,90
FALSE,FALSE,30751,31260,509,9,48,111
FALSE,FALSE,31739,32207,468,9,47,92
FALSE,FALSE,32700,33180,480,9,48,80
FALSE,FALSE,33657,34250,593,9,47,111
FALSE,FALSE,34666,35206,540,9,48,104
FALSE,FALSE,35570,36060,490,9,47,102
FALSE,FALSE,36460,37023,563,9,48,99
FALSE,FALSE,37545,38078,533,9,47,114
FALSE,FALSE,38475,39050,575,9,48,98
FALSE,FALSE,39504,40007,503,9,47,98
FALSE,FALSE,40484,41054,570,9,48,92
FALSE,FALSE,41464,42020,556,9,47,101
FALSE,FALSE,42493,42973,480,9,48,77
FALSE,FALSE,43450,44044,594,9,47,102
