sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,954,1257,303,9,48,78
FALSE,FALSE,1885,2161,276,9,48,71
FALSE,FALSE,1935,2202,267,9,47,101
FALSE,FALSE,2871,3130,259,9,48,89
FALSE,FALSE,2891,3165,274,9,47,110
FALSE,FALSE,3807,4075,268,9,47,80
FALSE,FALSE,3852,4135,283,9,48,86
FALSE,FALSE,4744,5005,261,9,48,92
FALSE,FALSE,4748,5005,257,9,47,86
FALSE,FALSE,5746,6008,262,9,48,87
FALSE,FALSE,5747,6009,262,9,47,86
FALSE,FALSE,6700,6973,273,9,47,86
FALSE,FALSE,6725,7012,287,9,48,75
FALSE,FALSE,7671,7938,267,9,47,96
FALSE,FALSE,7686,7938,252,9,48,83
FALSE,FALSE,8622,8875,253,9,48,92
FALSE,FALSE,8651,8875,224,9,47,95
FALSE,FALSE,9565,9844,279,9,48,65
FALSE,FALSE,9652,9900,248,9,47,96
FALSE,FALSE,10554,10807,253,9,47,89
FALSE,FALSE,10616,10848,232,9,48,57
FALSE,FALSE,11520,11775,255,9,47,113
FALSE,FALSE,11524,11775,251,9,48,72
FALSE,FALSE,12456,12720,264,9,48,78
FALSE,FALSE,12483,12720,237,9,47,89
FALSE,FALSE,13486,13747,261,9,48,34
FALSE,FALSE,13504,13782,278,9,47,61
FALSE,FALSE,14327,14596,269,9,47,95
FALSE,FALSE,14396,14651,255,9,48,64
FALSE,FALSE,15364,15621,257,9,48,77
FALSE,FALSE,15377,15655,278,9,47,98
FALSE,FALSE,16322,16584,262,9,48,78
FALSE,FALSE,16361,16623,262,9,47,77
FALSE,FALSE,17271,17528,257,9,48,78
FALSE,FALSE,17336,17583,247,9,47,95
FALSE,FALSE,18297,18546,249,9,47,78
FALSE,FALSE,18319,18586,267,9,48,90
FALSE,FALSE,19217,19491,274,9,48,84
FALSE,FALSE,19258,19491,233,9,47,66
FALSE,FALSE,20112,20361,249,9,48,90
FALSE,FALSE,20157,20418,261,9,47,80
FALSE,FALSE,21092,21366,274,9,48,87
FALSE,FALSE,21154,21422,268,9,47,58
FALSE,FALSE,22032,22293,261,9,47,98
FALSE,FALSE,22121,22392,271,9,48,78
FALSE,FALSE,23011,23240,229,9,48,98
FALSE,FALSE,23038,23297,259,9,47,96
FALSE,FALSE,23997,24265,268,9,47,95
FALSE,FALSE,24025,24300,275,9,48,84
FALSE,FALSE,24972,25207,235,9,48,86
FALSE,FALSE,24993,25268,275,9,47,75
FALSE,FALSE,25898,26173,275,9,47,96
FALSE,FALSE,25920,26173,253,9,48,78
FALSE,FALSE,26856,27142,286,9,47,58
FALSE,FALSE,26864,27142,278,9,48,80
FALSE,FALSE,27773,28048,275,9,47,68
FALSE,FALSE,27925,28194,269,9,48,90
FALSE,FALSE,28818,29041,223,9,48,65
FALSE,FALSE,28851,29106,255,9,47,83
FALSE,FALSE,29790,30068,278,9,47,89
FALSE,FALSE,29809,30068,259,9,48,75
FALSE,FALSE,30718,30977,259,9,47,96
FALSE,FALSE,30735,31035,300,9,48,68
FALSE,FALSE,31671,31940,269,9,47,102
FALSE,FALSE,31694,31940,246,9,48,72
FALSE,FALSE,32674,32943,269,9,47,84
FALSE,FALSE,32687,32943,256,9,48,87
FALSE,FALSE,33633,33914,281,9,48,75
FALSE,FALSE,33637,33914,277,9,47,80
FALSE,FALSE,34625,34881,256,9,47,98
FALSE,FALSE,34695,34970,275,9,48,71
FALSE,FALSE,35590,35844,254,9,47,89
FALSE,FALSE,35595,35876,281,9,48,90
FALSE,FALSE,36560,36843,283,9,47,83
FALSE,FALSE,36565,36843,278,9,48,89
FALSE,FALSE,37509,37805,296,9,48,89
FALSE,FALSE,37512,37805,293,9,47,77
FALSE,FALSE,38473,38753,280,9,47,61
FALSE,FALSE,38487,38753,266,9,48,90
FALSE,FALSE,39369,39623,254,9,48,71
FALSE,FALSE,39416,39679,263,9,47,75
