sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3902,4449,547,9,48,127
FALSE,FALSE,5841,6378,537,9,48,127
FALSE,FALSE,7682,8194,512,9,48,127
FALSE,FALSE,8676,9174,498,9,47,127
FALSE,FALSE,9585,10128,543,9,48,127
FALSE,FALSE,10677,11181,504,9,47,78
FALSE,FALSE,11537,12053,516,9,48,127
FALSE,FALSE,12531,13105,574,9,47,127
FALSE,FALSE,13465,13974,509,9,48,127
FALSE,FALSE,14484,15024,540,9,47,108
FALSE,FALSE,15318,15863,545,9,48,127
FALSE,FALSE,16379,16932,553,9,47,127
FALSE,FALSE,17220,17718,498,9,48,127
FALSE,FALSE,18187,18770,583,9,47,64
FALSE,FALSE,19163,19726,563,9,48,127
FALSE,FALSE,20232,20791,559,9,47,39
FALSE,FALSE,21083,21658,575,9,48,127
FALSE,FALSE,22085,22599,514,9,47,86
FALSE,FALSE,23041,23555,514,9,48,127
FALSE,FALSE,24066,24608,542,9,47,87
FALSE,FALSE,25027,25595,568,9,48,127
FALSE,FALSE,26042,26540,498,9,47,127
FALSE,FALSE,26935,27514,579,9,48,127
FALSE,FALSE,27927,28468,541,9,47,98
FALSE,FALSE,28812,29342,530,9,48,127
FALSE,FALSE,29877,30386,509,9,47,74
FALSE,FALSE,30786,31343,557,9,48,127
FALSE,FALSE,31818,32314,496,9,47,127
FALSE,FALSE,32688,33160,472,9,48,127
FALSE,FALSE,33637,34142,505,9,47,75
FALSE,FALSE,34667,35205,538,9,48,127
FALSE,FALSE,35612,36159,547,9,47,75
FALSE,FALSE,36528,37018,490,9,48,127
FALSE,FALSE,37556,38087,531,9,47,77
FALSE,FALSE,38317,38835,518,9,48,127
FALSE,FALSE,39397,39908,511,9,47,75
FALSE,FALSE,40447,40960,513,9,48,127
FALSE,FALSE,41473,42011,538,9,47,86
FALSE,FALSE,42399,42969,570,9,48,127
FALSE,FALSE,43382,43949,567,9,47,89
FALSE,FALSE,44355,44886,531,9,48,127
FALSE,FALSE,45344,45841,497,9,47,90
FALSE,FALSE,46319,46822,503,9,48,127
FALSE,FALSE,47319,47880,561,9,47,87
FALSE,FALSE,48287,48828,541,9,48,127
FALSE,FALSE,49273,49800,527,9,47,72
FALSE,FALSE,50257,50754,497,9,48,127
FALSE,FALSE,51172,51707,535,9,47,83
FALSE,FALSE,52242,52771,529,9,48,127
FALSE,FALSE,53211,53743,532,9,47,83
FALSE,FALSE,54251,54795,544,9,48,127
FALSE,FALSE,55166,55633,467,9,47,75
FALSE,FALSE,56178,56698,520,9,48,127
FALSE,FALSE,57106,57668,562,9,47,83
FALSE,FALSE,58179,58737,558,9,48,127
FALSE,FALSE,59123,59693,570,9,47,78
