sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,2808,3331,523,9,47,95
FALSE,FALSE,4769,5337,568,9,48,127
FALSE,FALSE,6713,7261,548,9,47,95
FALSE,FALSE,8693,9196,503,9,47,96
FALSE,FALSE,9799,10332,533,9,48,127
FALSE,FALSE,10619,11091,472,9,47,95
FALSE,FALSE,11510,12071,561,9,48,127
FALSE,FALSE,12429,12945,516,9,47,108
FALSE,FALSE,13385,13882,497,9,48,127
FALSE,FALSE,14296,14837,541,9,47,86
FALSE,FALSE,16336,16869,533,9,47,96
FALSE,FALSE,17283,17824,541,9,48,127
FALSE,FALSE,18207,18760,553,9,47,127
FALSE,FALSE,19408,19929,521,9,48,90
FALSE,FALSE,20276,20811,535,9,47,127
FALSE,FALSE,21177,21687,510,9,48,127
FALSE,FALSE,22112,22625,513,9,47,127
FALSE,FALSE,23127,23676,549,9,48,127
FALSE,FALSE,24021,24556,535,9,47,127
FALSE,FALSE,24955,25492,537,9,48,127
FALSE,FALSE,25887,26484,597,9,47,120
FALSE,FALSE,26896,27420,524,9,48,122
FALSE,FALSE,27810,28379,569,9,47,127
FALSE,FALSE,28820,29361,541,9,48,127
FALSE,FALSE,29769,30307,538,9,47,123
FALSE,FALSE,30708,31243,535,9,48,113
FALSE,FALSE,31729,32224,495,9,47,127
FALSE,FALSE,32670,33177,507,9,48,127
FALSE,FALSE,33644,34158,514,9,47,127
FALSE,FALSE,34587,35115,528,9,48,113
FALSE,FALSE,35612,36166,554,9,47,122
FALSE,FALSE,36503,37039,536,9,48,127
FALSE,FALSE,37480,37975,495,9,47,114
FALSE,FALSE,38376,38975,599,9,48,127
FALSE,FALSE,39434,40026,592,9,47,117
FALSE,FALSE,40412,40962,550,9,48,127
FALSE,FALSE,41338,41848,510,9,47,111
FALSE,FALSE,42297,42899,602,9,48,125
FALSE,FALSE,43324,43857,533,9,47,127
FALSE,FALSE,44309,44794,485,9,48,122
FALSE,FALSE,45307,45847,540,9,47,122
FALSE,FALSE,46355,46847,492,9,48,114
FALSE,FALSE,47289,47781,492,9,47,127
FALSE,FALSE,48302,48850,548,9,48,125
FALSE,FALSE,49219,49789,570,9,47,114
FALSE,FALSE,50266,50778,512,9,48,127
FALSE,FALSE,51216,51712,496,9,47,123
FALSE,FALSE,52229,52776,547,9,48,123
FALSE,FALSE,53163,53766,603,9,47,108
FALSE,FALSE,54163,54702,539,9,48,127
FALSE,FALSE,55209,55763,554,9,47,127
FALSE,FALSE,56209,56709,500,9,48,102
FALSE,FALSE,57058,57591,533,9,47,127
FALSE,FALSE,58126,58647,521,9,48,119
FALSE,FALSE,59158,59699,541,9,47,119
FALSE,FALSE,60101,60636,535,9,48,127
FALSE,FALSE,61119,61636,517,9,47,104
FALSE,FALSE,62071,62584,513,9,48,127
FALSE,FALSE,63075,63643,568,9,47,111
FALSE,FALSE,64102,64580,478,9,48,108
FALSE,FALSE,65036,65571,535,9,47,99
FALSE,FALSE,66017,66508,491,9,48,108
FALSE,FALSE,67073,67570,497,9,47,110
FALSE,FALSE,68074,68640,566,9,48,114
FALSE,FALSE,68991,69495,504,9,47,96
FALSE,FALSE,70028,70565,537,9,48,119
FALSE,FALSE,70966,71503,537,9,47,98
FALSE,FALSE,71897,72503,606,9,48,125
FALSE,FALSE,73038,73508,470,9,47,102
FALSE,FALSE,74014,74571,557,9,48,123
FALSE,FALSE,74914,75446,532,9,47,104
FALSE,FALSE,75922,76427,505,9,48,117
FALSE,FALSE,76956,77478,522,9,47,95
FALSE,FALSE,77921,78434,513,9,48,127
FALSE,FALSE,78931,79484,553,9,47,125
FALSE,FALSE,79919,80441,522,9,48,111
FALSE,FALSE,80932,81494,562,9,47,119
FALSE,FALSE,81888,82472,584,9,48,122
FALSE,FALSE,83018,83545,527,9,47,108
FALSE,FALSE,84028,84563,535,9,48,113
FALSE,FALSE,85009,85544,535,9,47,104
FALSE,FALSE,85971,86487,516,9,48,127
FALSE,FALSE,86970,87472,502,9,47,110
FALSE,FALSE,88065,88603,538,9,48,127
FALSE,FALSE,89083,89557,474,9,47,86
FALSE,FALSE,90047,90611,564,9,48,117
FALSE,FALSE,91072,91607,535,9,47,122
FALSE,FALSE,92053,92544,491,9,48,122
FALSE,FALSE,93054,93601,547,9,47,108
FALSE,FALSE,94093,94550,457,9,48,117
FALSE,FALSE,95081,95609,528,9,47,111
FALSE,FALSE,96066,96601,535,9,48,114
FALSE,FALSE,97026,97537,511,9,47,125
FALSE,FALSE,98027,98473,446,9,48,111
FALSE,FALSE,99008,99543,535,9,47,104
FALSE,FALSE,100022,100524,502,9,48,107
FALSE,FALSE,100970,101475,505,9,47,123
FALSE,FALSE,102018,102530,512,9,48,113
FALSE,FALSE,103020,103466,446,9,47,99
FALSE,FALSE,103971,104464,493,9,48,108
FALSE,FALSE,104893,105403,510,9,47,114
FALSE,FALSE,105954,106472,518,9,48,89
FALSE,FALSE,106970,107524,554,9,47,127
FALSE,FALSE,107991,108505,514,9,48,110
FALSE,FALSE,108950,109461,511,9,47,114
FALSE,FALSE,110036,110594,558,9,48,104
FALSE,FALSE,111030,111577,547,9,47,104
FALSE,FALSE,111987,112521,534,9,48,113
FALSE,FALSE,113042,113585,543,9,47,111
FALSE,FALSE,114070,114571,501,9,48,117
FALSE,FALSE,115147,115708,561,9,47,104
FALSE,FALSE,116192,116643,451,9,48,107
FALSE,FALSE,117004,117518,514,9,47,98
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
