sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3897,4204,307,9,47,120
FALSE,FALSE,4855,5109,254,9,47,127
FALSE,FALSE,5744,6015,271,9,47,127
FALSE,FALSE,6735,7015,280,9,47,101
FALSE,FALSE,7683,7951,268,9,47,98
FALSE,FALSE,7708,7977,269,9,48,102
FALSE,FALSE,8622,8888,266,9,48,77
FALSE,FALSE,8662,8888,226,9,47,104
FALSE,FALSE,9594,9849,255,9,48,80
FALSE,FALSE,9603,9849,246,9,47,102
FALSE,FALSE,10550,10818,268,9,48,75
FALSE,FALSE,10562,10818,256,9,47,101
FALSE,FALSE,11539,11787,248,9,48,75
FALSE,FALSE,11542,11823,281,9,47,92
FALSE,FALSE,12485,12750,265,9,48,83
FALSE,FALSE,12511,12790,279,9,47,99
FALSE,FALSE,13415,13660,245,9,48,61
FALSE,FALSE,13468,13696,228,9,47,102
FALSE,FALSE,14383,14663,280,9,48,75
FALSE,FALSE,14418,14663,245,9,47,113
FALSE,FALSE,15358,15627,269,9,47,102
FALSE,FALSE,15364,15627,263,9,48,72
FALSE,FALSE,16290,16585,295,9,48,80
FALSE,FALSE,16324,16585,261,9,47,101
FALSE,FALSE,17263,17533,270,9,48,40
FALSE,FALSE,17271,17533,262,9,47,87
FALSE,FALSE,18207,18469,262,9,48,75
FALSE,FALSE,18244,18497,253,9,47,110
FALSE,FALSE,19213,19464,251,9,47,110
FALSE,FALSE,19227,19500,273,9,48,64
FALSE,FALSE,20169,20430,261,9,48,72
FALSE,FALSE,20178,20431,253,9,47,107
FALSE,FALSE,21105,21373,268,9,48,61
FALSE,FALSE,21163,21434,271,9,47,87
FALSE,FALSE,22046,22306,260,9,48,63
FALSE,FALSE,22131,22398,267,9,47,86
FALSE,FALSE,23044,23308,264,9,48,55
FALSE,FALSE,23096,23366,270,9,47,110
FALSE,FALSE,23959,24214,255,9,48,66
FALSE,FALSE,24020,24271,251,9,47,102
FALSE,FALSE,24939,25238,299,9,48,66
FALSE,FALSE,25006,25274,268,9,47,87
FALSE,FALSE,25887,26144,257,9,48,64
FALSE,FALSE,25920,26185,265,9,47,99
FALSE,FALSE,26844,27112,268,9,48,63
FALSE,FALSE,26881,27144,263,9,47,95
FALSE,FALSE,27753,28018,265,9,48,66
FALSE,FALSE,27882,28149,267,9,47,90
FALSE,FALSE,28828,29076,248,9,48,78
FALSE,FALSE,28841,29110,269,9,47,104
FALSE,FALSE,29754,30022,268,9,48,43
FALSE,FALSE,29821,30080,259,9,47,77
FALSE,FALSE,30698,30950,252,9,48,68
FALSE,FALSE,30762,31047,285,9,47,102
FALSE,FALSE,31695,31952,257,9,47,92
FALSE,FALSE,31697,31952,255,9,48,55
FALSE,FALSE,32674,32956,282,9,48,51
FALSE,FALSE,32688,32956,268,9,47,96
FALSE,FALSE,33630,33882,252,9,48,21
FALSE,FALSE,33652,33923,271,9,47,68
FALSE,FALSE,34544,34792,248,9,48,65
FALSE,FALSE,34599,34881,282,9,47,92
FALSE,FALSE,35493,35757,264,9,48,64
FALSE,FALSE,35509,35795,286,9,47,87
FALSE,FALSE,36419,36703,284,9,47,87
FALSE,FALSE,36466,36703,237,9,48,84
FALSE,FALSE,37311,37573,262,9,48,54
FALSE,FALSE,37466,37721,255,9,47,98
FALSE,FALSE,38403,38665,262,9,48,96
FALSE,FALSE,38439,38665,226,9,47,89
FALSE,FALSE,39295,39592,297,9,48,61
FALSE,FALSE,39408,39692,284,9,47,80
FALSE,FALSE,40276,40541,265,9,48,61
FALSE,FALSE,40362,40632,270,9,47,96
FALSE,FALSE,41245,41503,258,9,48,65
FALSE,FALSE,41331,41602,271,9,47,98
FALSE,FALSE,42282,42570,288,9,47,75
FALSE,FALSE,42307,42570,263,9,48,63
FALSE,FALSE,43196,43474,278,9,48,77
FALSE,FALSE,43285,43564,279,9,47,89
FALSE,FALSE,44187,44443,256,9,48,71
FALSE,FALSE,44199,44492,293,9,47,95
FALSE,FALSE,45077,45349,272,9,48,61
FALSE,FALSE,45164,45436,272,9,47,83
FALSE,FALSE,46071,46362,291,9,48,64
FALSE,FALSE,46145,46406,261,9,47,89
FALSE,FALSE,46997,47275,278,9,48,58
FALSE,FALSE,47051,47311,260,9,47,71
FALSE,FALSE,47922,48181,259,9,48,80
FALSE,FALSE,48060,48337,277,9,47,114
FALSE,FALSE,48830,49087,257,9,48,80
FALSE,FALSE,49058,49341,283,9,47,90
FALSE,FALSE,49899,50151,252,9,48,55
FALSE,FALSE,49982,50244,262,9,47,86
FALSE,FALSE,50882,51154,272,9,48,66
FALSE,FALSE,50910,51154,244,9,47,68
FALSE,FALSE,51897,52179,282,9,47,90
FALSE,FALSE,51946,52207,261,9,48,95
FALSE,FALSE,52803,53088,285,9,48,77
FALSE,FALSE,52898,53177,279,9,47,98
FALSE,FALSE,53740,53992,252,9,48,68
FALSE,FALSE,53811,54082,271,9,47,89
FALSE,FALSE,54676,54961,285,9,48,75
FALSE,FALSE,54769,55050,281,9,47,92
FALSE,FALSE,55679,55956,277,9,48,80
FALSE,FALSE,55750,56013,263,9,47,98
FALSE,FALSE,56660,56923,263,9,48,68
FALSE,FALSE,56726,56980,254,9,47,92
FALSE,FALSE,57613,57886,273,9,47,83
FALSE,FALSE,57635,57886,251,9,48,77
FALSE,FALSE,58527,58797,270,9,48,54
FALSE,FALSE,58583,58855,272,9,47,86
FALSE,FALSE,59446,59703,257,9,48,72
FALSE,FALSE,59526,59801,275,9,47,80
FALSE,FALSE,60420,60670,250,9,48,72
FALSE,FALSE,60494,60764,270,9,47,98
FALSE,FALSE,61440,61674,234,9,48,80
FALSE,FALSE,61470,61731,261,9,47,90
FALSE,FALSE,62384,62636,252,9,48,34
FALSE,FALSE,62421,62700,279,9,47,98
FALSE,FALSE,63325,63606,281,9,48,72
FALSE,FALSE,63367,63637,270,9,47,87
FALSE,FALSE,64305,64573,268,9,48,72
FALSE,FALSE,64328,64598,270,9,47,98
FALSE,FALSE,65265,65509,244,9,48,52
FALSE,FALSE,65309,65569,260,9,47,92
FALSE,FALSE,66176,66446,270,9,48,90
FALSE,FALSE,66256,66535,279,9,47,104
FALSE,FALSE,67092,67351,259,9,48,83
FALSE,FALSE,67195,67499,304,9,47,87
FALSE,FALSE,68043,68311,268,9,48,74
FALSE,FALSE,68125,68407,282,9,47,96
FALSE,FALSE,68964,69216,252,9,48,72
FALSE,FALSE,69045,69316,271,9,47,80
FALSE,FALSE,69878,70190,312,9,48,77
FALSE,FALSE,70017,70280,263,9,47,98
FALSE,FALSE,70770,71038,268,9,48,72
FALSE,FALSE,70973,71246,273,9,47,108
FALSE,FALSE,71866,72094,228,9,48,83
FALSE,FALSE,71928,72191,263,9,47,108
FALSE,FALSE,72799,73060,261,9,48,80
FALSE,FALSE,72880,73155,275,9,47,96
FALSE,FALSE,73781,74066,285,9,48,61
FALSE,FALSE,73836,74066,230,9,47,90
FALSE,FALSE,74746,74993,247,9,48,71
FALSE,FALSE,74750,75028,278,9,47,83
FALSE,FALSE,75657,75939,282,9,47,92
FALSE,FALSE,75736,75997,261,9,48,65
FALSE,FALSE,76566,76866,300,9,48,75
FALSE,FALSE,76612,76866,254,9,47,86
FALSE,FALSE,77538,77813,275,9,48,54
FALSE,FALSE,77547,77813,266,9,47,86
FALSE,FALSE,78490,78739,249,9,47,78
FALSE,FALSE,78495,78774,279,9,48,75
FALSE,FALSE,79454,79686,232,9,48,90
FALSE,FALSE,79457,79686,229,9,47,101
FALSE,FALSE,80351,80614,263,9,48,52
FALSE,FALSE,80397,80645,248,9,47,98
FALSE,FALSE,81291,81559,268,9,48,68
FALSE,FALSE,81346,81616,270,9,47,102
FALSE,FALSE,82272,82576,304,9,48,80
FALSE,FALSE,82307,82576,269,9,47,80
FALSE,FALSE,83208,83481,273,9,48,83
FALSE,FALSE,83232,83482,250,9,47,96
FALSE,FALSE,84212,84484,272,9,48,71
FALSE,FALSE,84218,84484,266,9,47,89
FALSE,FALSE,85192,85453,261,9,48,61
FALSE,FALSE,85192,85453,261,9,47,102
FALSE,FALSE,86157,86418,261,9,47,77
FALSE,FALSE,86174,86457,283,9,48,68
FALSE,FALSE,87060,87327,267,9,48,61
FALSE,FALSE,87133,87384,251,9,47,92
FALSE,FALSE,88003,88232,229,9,47,98
FALSE,FALSE,88122,88388,266,9,48,46
FALSE,FALSE,88959,89256,297,9,48,75
FALSE,FALSE,89045,89356,311,9,47,87
FALSE,FALSE,89976,90204,228,9,47,89
FALSE,FALSE,89985,90252,267,9,48,92
FALSE,FALSE,90899,91166,267,9,48,78
FALSE,FALSE,90966,91230,264,9,47,84
FALSE,FALSE,91871,92135,264,9,48,84
