sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3785,4054,269,9,47,83
FALSE,FALSE,3883,4153,270,9,48,63
FALSE,FALSE,3891,4153,262,9,48,87
FALSE,FALSE,4769,5023,254,9,48,75
FALSE,FALSE,4853,5122,269,9,47,127
FALSE,FALSE,5710,5985,275,9,47,96
FALSE,FALSE,5769,6027,258,9,48,127
FALSE,FALSE,6694,6932,238,9,47,127
FALSE,FALSE,6699,6932,233,9,48,127
FALSE,FALSE,7611,7860,249,9,47,90
FALSE,FALSE,7697,7954,257,9,48,102
FALSE,FALSE,8613,8917,304,9,47,127
FALSE,FALSE,8615,8917,302,9,48,117
FALSE,FALSE,9593,9862,269,9,48,125
FALSE,FALSE,9596,9862,266,9,47,108
FALSE,FALSE,10539,10789,250,9,48,68
FALSE,FALSE,10551,10829,278,9,47,127
FALSE,FALSE,11454,11737,283,9,47,96
FALSE,FALSE,11462,11737,275,9,48,54
FALSE,FALSE,12426,12702,276,9,48,110
FALSE,FALSE,12444,12702,258,9,47,127
FALSE,FALSE,13400,13667,267,9,47,107
FALSE,FALSE,13419,13667,248,9,48,114
FALSE,FALSE,14323,14574,251,9,48,127
FALSE,FALSE,14329,14629,300,9,47,127
FALSE,FALSE,15310,15577,267,9,48,127
FALSE,FALSE,15377,15639,262,9,47,107
FALSE,FALSE,16224,16503,279,9,48,66
FALSE,FALSE,16321,16602,281,9,47,127
FALSE,FALSE,17251,17514,263,9,47,83
FALSE,FALSE,17271,17539,268,9,48,110
FALSE,FALSE,18146,18419,273,9,48,96
FALSE,FALSE,18197,18475,278,9,47,127
FALSE,FALSE,19170,19435,265,9,47,111
FALSE,FALSE,19174,19435,261,9,48,127
FALSE,FALSE,20103,20382,279,9,48,127
FALSE,FALSE,20106,20382,276,9,47,127
FALSE,FALSE,21092,21350,258,9,48,125
FALSE,FALSE,21105,21400,295,9,47,99
FALSE,FALSE,22032,22311,279,9,48,114
FALSE,FALSE,22066,22311,245,9,47,127
FALSE,FALSE,22978,23274,296,9,47,117
FALSE,FALSE,23050,23314,264,9,48,113
FALSE,FALSE,23958,24226,268,9,47,127
