sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,1968,2555,587,9,48,127
FALSE,FALSE,2854,3427,573,9,47,127
FALSE,FALSE,3814,4383,569,9,48,127
FALSE,FALSE,4756,5251,495,9,47,127
FALSE,FALSE,5722,6301,579,9,48,127
FALSE,FALSE,6744,7256,512,9,47,127
FALSE,FALSE,7726,8211,485,9,48,127
FALSE,FALSE,8702,9264,562,9,47,127
FALSE,FALSE,9617,10137,520,9,48,122
FALSE,FALSE,10653,11200,547,9,47,127
FALSE,FALSE,11540,12064,524,9,48,127
FALSE,FALSE,12488,13009,521,9,47,127
FALSE,FALSE,13454,13990,536,9,48,127
FALSE,FALSE,14436,14946,510,9,47,127
FALSE,FALSE,15328,15918,590,9,48,127
FALSE,FALSE,16268,16756,488,9,47,127
FALSE,FALSE,17218,17735,517,9,48,127
FALSE,FALSE,18136,18692,556,9,47,127
FALSE,FALSE,19087,19665,578,9,48,127
FALSE,FALSE,20093,20620,527,9,47,127
FALSE,FALSE,21126,21670,544,9,48,117
FALSE,FALSE,22094,22619,525,9,47,127
FALSE,FALSE,23103,23590,487,9,48,120
FALSE,FALSE,24007,24545,538,9,47,127
FALSE,FALSE,25023,25498,475,9,48,114
FALSE,FALSE,25990,26562,572,9,47,127
FALSE,FALSE,26900,27417,517,9,48,120
FALSE,FALSE,27909,28371,462,9,47,127
FALSE,FALSE,28881,29423,542,9,48,113
FALSE,FALSE,29864,30414,550,9,47,127
FALSE,FALSE,30806,31362,556,9,48,113
FALSE,FALSE,31785,32333,548,9,47,127
FALSE,FALSE,32701,33206,505,9,48,114
FALSE,FALSE,33651,34160,509,9,47,127
FALSE,FALSE,34658,35213,555,9,48,110
FALSE,FALSE,35607,36158,551,9,47,127
FALSE,FALSE,36558,37130,572,9,48,123
FALSE,FALSE,37530,38099,569,9,47,127
FALSE,FALSE,38558,39045,487,9,48,113
FALSE,FALSE,39486,40025,539,9,47,127
FALSE,FALSE,40461,40977,516,9,48,110
FALSE,FALSE,41491,42031,540,9,47,127
FALSE,FALSE,42417,42969,552,9,48,113
FALSE,FALSE,43386,43957,571,9,47,127
FALSE,FALSE,44349,44907,558,9,48,113
FALSE,FALSE,45293,45877,584,9,47,127
FALSE,FALSE,46275,46830,555,9,48,108
FALSE,FALSE,47223,47784,561,9,47,127
FALSE,FALSE,48152,48648,496,9,48,114
FALSE,FALSE,49102,49620,518,9,47,127
FALSE,FALSE,50039,50579,540,9,48,107
FALSE,FALSE,51053,51530,477,9,47,127
FALSE,FALSE,51994,52509,515,9,48,102
FALSE,FALSE,52955,53449,494,9,47,127
FALSE,FALSE,53875,54405,530,9,48,99
FALSE,FALSE,54859,55383,524,9,47,127
FALSE,FALSE,55799,56341,542,9,48,98
FALSE,FALSE,56681,57196,515,9,47,127
FALSE,FALSE,57673,58152,479,9,48,110
FALSE,FALSE,58616,59136,520,9,47,127
FALSE,FALSE,59653,60194,541,9,48,114
FALSE,FALSE,60592,61139,547,9,47,127
FALSE,FALSE,61616,62112,496,9,48,104
FALSE,FALSE,62550,63068,518,9,47,127
FALSE,FALSE,63479,64011,532,9,48,90
FALSE,FALSE,64466,64986,520,9,47,127
FALSE,FALSE,65438,65938,500,9,48,110
FALSE,FALSE,66395,66910,515,9,47,127
FALSE,FALSE,67378,67865,487,9,48,110
FALSE,FALSE,68291,68826,535,9,47,127
FALSE,FALSE,69341,69883,542,9,48,119
FALSE,FALSE,70331,70856,525,9,47,127
FALSE,FALSE,71323,71810,487,9,48,127
FALSE,FALSE,72303,72863,560,9,47,127
FALSE,FALSE,73285,73820,535,9,48,99
FALSE,FALSE,74271,74799,528,9,47,127
FALSE,FALSE,75249,75850,601,9,48,108
FALSE,FALSE,76220,76690,470,9,47,127
FALSE,FALSE,77254,77743,489,9,48,107
FALSE,FALSE,78250,78813,563,9,47,122
FALSE,FALSE,79249,79794,545,9,48,110
FALSE,FALSE,80215,80730,515,9,47,123
FALSE,FALSE,81247,81801,554,9,48,117
FALSE,FALSE,82248,82736,488,9,47,127
FALSE,FALSE,83226,83726,500,9,48,107
FALSE,FALSE,84172,84675,503,9,47,127
FALSE,FALSE,85200,85726,526,9,48,104
FALSE,FALSE,86191,86682,491,9,47,127
FALSE,FALSE,87144,87660,516,9,48,102
FALSE,FALSE,88098,88616,518,9,47,127
FALSE,FALSE,89059,89591,532,9,48,113
FALSE,FALSE,90121,90642,521,9,47,127
FALSE,FALSE,91077,91599,522,9,48,101
FALSE,FALSE,92071,92542,471,9,47,127
FALSE,FALSE,92996,93515,519,9,48,98
FALSE,FALSE,93930,94465,535,9,47,127
FALSE,FALSE,94946,95424,478,9,48,96
FALSE,FALSE,95874,96396,522,9,47,127
FALSE,FALSE,96881,97359,478,9,48,95
FALSE,FALSE,97840,98331,491,9,47,127
FALSE,FALSE,98769,99277,508,9,48,113
FALSE,FALSE,99724,100223,499,9,47,127
FALSE,FALSE,100689,101203,514,9,48,110
FALSE,FALSE,101638,102158,520,9,47,127
FALSE,FALSE,102628,103131,503,9,48,110
FALSE,FALSE,103601,104086,485,9,47,127
FALSE,FALSE,104618,105138,520,9,48,110
FALSE,FALSE,105609,106097,488,9,47,127
FALSE,FALSE,106626,107156,530,9,48,102
FALSE,FALSE,107613,108127,514,9,47,127
FALSE,FALSE,108585,109083,498,9,48,99
FALSE,FALSE,109576,110134,558,9,47,127
FALSE,FALSE,110545,111090,545,9,48,108
FALSE,FALSE,111477,112052,575,9,47,127
FALSE,FALSE,112524,113124,600,9,48,95
FALSE,FALSE,113517,114077,560,9,47,127
FALSE,FALSE,114460,115014,554,9,48,108
FALSE,FALSE,115425,116003,578,9,47,127
FALSE,FALSE,116410,116949,539,9,48,113
FALSE,FALSE,117401,117922,521,9,47,127
FALSE,FALSE,118374,118877,503,9,48,110
FALSE,FALSE,119354,119822,468,9,47,127
FALSE,FALSE,120312,120795,483,9,48,123
FALSE,FALSE,121237,121749,512,9,47,127
FALSE,FALSE,122246,122815,569,9,48,123
FALSE,FALSE,123217,123756,539,9,47,127
FALSE,FALSE,124108,124642,534,9,48,113
FALSE,FALSE,125023,125613,590,9,47,127
FALSE,FALSE,126129,126663,534,9,48,110
FALSE,FALSE,127094,127620,526,9,47,127
FALSE,FALSE,128100,128672,572,9,48,114
FALSE,FALSE,129078,129635,557,9,47,127
FALSE,FALSE,130182,130689,507,9,48,87
FALSE,FALSE,131140,131661,521,9,47,127
FALSE,FALSE,132133,132696,563,9,48,113
FALSE,FALSE,133035,133560,525,9,47,127
FALSE,FALSE,134060,134617,557,9,48,104
FALSE,FALSE,135002,135586,584,9,47,127
