sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,2855,3409,554,9,47,127
FALSE,FALSE,4760,5263,503,9,47,127
FALSE,FALSE,5742,6277,535,9,48,74
FALSE,FALSE,6589,7155,566,9,47,127
FALSE,FALSE,7655,8207,552,9,48,22
FALSE,FALSE,8533,9070,537,9,47,120
FALSE,FALSE,9652,10262,610,9,48,89
FALSE,FALSE,10516,11079,563,9,47,123
FALSE,FALSE,11552,12073,521,9,48,86
FALSE,FALSE,12519,13009,490,9,47,119
FALSE,FALSE,13401,13945,544,9,48,90
FALSE,FALSE,14368,14827,459,9,47,123
FALSE,FALSE,15318,15877,559,9,48,87
FALSE,FALSE,16326,16878,552,9,47,127
FALSE,FALSE,17155,17754,599,9,48,74
FALSE,FALSE,18278,18760,482,9,47,83
FALSE,FALSE,19057,19563,506,9,48,89
FALSE,FALSE,20113,20628,515,9,47,127
FALSE,FALSE,21037,21564,527,9,48,84
FALSE,FALSE,22067,22630,563,9,47,111
FALSE,FALSE,22988,23491,503,9,48,83
FALSE,FALSE,23887,24448,561,9,47,127
FALSE,FALSE,24913,25424,511,9,48,78
FALSE,FALSE,25839,26379,540,9,47,127
FALSE,FALSE,26746,27315,569,9,48,75
FALSE,FALSE,27789,28299,510,9,47,95
FALSE,FALSE,28702,29241,539,9,48,77
FALSE,FALSE,29701,30225,524,9,47,127
FALSE,FALSE,30649,31179,530,9,48,86
FALSE,FALSE,31577,32113,536,9,47,120
FALSE,FALSE,32603,33114,511,9,48,90
FALSE,FALSE,33383,33968,585,9,47,127
FALSE,FALSE,34400,34925,525,9,48,86
FALSE,FALSE,35286,35791,505,9,47,98
FALSE,FALSE,36306,36861,555,9,48,63
FALSE,FALSE,37109,37604,495,9,47,114
FALSE,FALSE,38094,38555,461,9,48,84
FALSE,FALSE,38970,39536,566,9,47,114
FALSE,FALSE,39888,40415,527,9,48,90
FALSE,FALSE,40782,41283,501,9,47,120
FALSE,FALSE,41765,42300,535,9,48,84
FALSE,FALSE,42618,43160,542,9,47,107
FALSE,FALSE,43602,44157,555,9,48,87
FALSE,FALSE,44431,44975,544,9,47,101
FALSE,FALSE,45330,45854,524,9,48,83
FALSE,FALSE,46223,46847,624,9,47,110
FALSE,FALSE,47115,47708,593,9,48,87
FALSE,FALSE,48096,48648,552,9,47,111
FALSE,FALSE,49036,49602,566,9,48,92
FALSE,FALSE,49906,50401,495,9,47,96
FALSE,FALSE,50847,51341,494,9,48,63
FALSE,FALSE,51751,52286,535,9,47,111
FALSE,FALSE,52688,53151,463,9,48,107
FALSE,FALSE,53609,54153,544,9,47,111
FALSE,FALSE,54681,55202,521,9,48,90
FALSE,FALSE,55460,56078,618,9,47,119
FALSE,FALSE,56446,56897,451,9,48,86
FALSE,FALSE,57280,57898,618,9,47,127
FALSE,FALSE,58168,58751,583,9,48,101
FALSE,FALSE,59123,59593,470,9,47,107
FALSE,FALSE,60066,60574,508,9,48,87
FALSE,FALSE,60902,61447,545,9,47,102
FALSE,FALSE,61827,62385,558,9,48,84
FALSE,FALSE,62687,63145,458,9,47,110
FALSE,FALSE,63643,64197,554,9,48,90
FALSE,FALSE,64580,65078,498,9,47,92
FALSE,FALSE,65456,66018,562,9,48,98
FALSE,FALSE,66311,66819,508,9,47,110
FALSE,FALSE,67221,67763,542,9,48,99
FALSE,FALSE,68091,68628,537,9,47,110
FALSE,FALSE,68968,69504,536,9,48,84
FALSE,FALSE,69883,70438,555,9,47,96
FALSE,FALSE,70752,71323,571,9,48,84
FALSE,FALSE,71635,72178,543,9,47,89
FALSE,FALSE,72529,73062,533,9,48,89
FALSE,FALSE,73496,73998,502,9,47,87
FALSE,FALSE,74313,74875,562,9,48,90
FALSE,FALSE,75269,75826,557,9,47,110
FALSE,FALSE,76179,76686,507,9,48,71
FALSE,FALSE,77037,77564,527,9,47,110
FALSE,FALSE,77921,78429,508,9,48,95
FALSE,FALSE,78824,79382,558,9,47,108
FALSE,FALSE,79704,80239,535,9,48,80
FALSE,FALSE,80693,81234,541,9,47,99
FALSE,FALSE,81608,82067,459,9,48,72
FALSE,FALSE,82487,83048,561,9,47,98
FALSE,FALSE,83369,83930,561,9,48,104
FALSE,FALSE,84308,84864,556,9,47,111
FALSE,FALSE,85233,85741,508,9,48,92
FALSE,FALSE,86092,86606,514,9,47,86
FALSE,FALSE,86978,87477,499,9,48,96
FALSE,FALSE,87863,88417,554,9,47,122
FALSE,FALSE,88744,89290,546,9,48,87
FALSE,FALSE,89619,90176,557,9,47,110
FALSE,FALSE,90556,91113,557,9,48,80
FALSE,FALSE,91336,91871,535,9,47,107
FALSE,FALSE,92291,92852,561,9,48,96
FALSE,FALSE,93124,93722,598,9,47,108
FALSE,FALSE,93994,94547,553,9,48,84
FALSE,FALSE,94907,95420,513,9,47,119
FALSE,FALSE,95779,96290,511,9,48,71
FALSE,FALSE,96684,97274,590,9,47,117
FALSE,FALSE,97541,98116,575,9,48,83
FALSE,FALSE,98474,98969,495,9,47,110
FALSE,FALSE,99321,99855,534,9,48,89
FALSE,FALSE,100206,100711,505,9,47,113
FALSE,FALSE,101105,101665,560,9,48,80
FALSE,FALSE,101949,102468,519,9,47,107
FALSE,FALSE,102812,103288,476,9,48,92
FALSE,FALSE,103750,104278,528,9,47,117
FALSE,FALSE,104617,105144,527,9,48,83
FALSE,FALSE,105521,106017,496,9,47,113
FALSE,FALSE,106378,106843,465,9,48,75
