sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3963,4494,531,9,48,127
FALSE,FALSE,4917,5430,513,9,47,127
FALSE,FALSE,5831,6366,535,9,48,127
FALSE,FALSE,6723,7245,522,9,47,127
FALSE,FALSE,7715,8239,524,9,48,127
FALSE,FALSE,8675,9173,498,9,47,119
FALSE,FALSE,9644,10169,525,9,48,122
FALSE,FALSE,10557,11098,541,9,47,127
FALSE,FALSE,11517,12055,538,9,48,127
FALSE,FALSE,12428,12920,492,9,47,99
FALSE,FALSE,13467,13990,523,9,48,127
FALSE,FALSE,14368,14926,558,9,47,120
FALSE,FALSE,15416,15907,491,9,48,127
FALSE,FALSE,16326,16863,537,9,47,127
FALSE,FALSE,17344,17831,487,9,48,127
FALSE,FALSE,18253,18787,534,9,47,127
FALSE,FALSE,19204,19737,533,9,48,127
FALSE,FALSE,20172,20722,550,9,47,114
FALSE,FALSE,21141,21661,520,9,48,127
FALSE,FALSE,22059,22641,582,9,47,127
FALSE,FALSE,23085,23596,511,9,48,127
FALSE,FALSE,23952,24467,515,9,47,127
FALSE,FALSE,25020,25526,506,9,48,127
FALSE,FALSE,25938,26472,534,9,47,89
FALSE,FALSE,26927,27409,482,9,48,127
FALSE,FALSE,27831,28396,565,9,47,99
FALSE,FALSE,28830,29353,523,9,48,127
FALSE,FALSE,29788,30331,543,9,47,119
FALSE,FALSE,30726,31288,562,9,48,127
FALSE,FALSE,31658,32217,559,9,47,113
FALSE,FALSE,32670,33205,535,9,48,127
FALSE,FALSE,33628,34141,513,9,47,111
FALSE,FALSE,34632,35131,499,9,48,122
FALSE,FALSE,35537,36087,550,9,47,127
FALSE,FALSE,36504,37012,508,9,48,127
FALSE,FALSE,37485,38020,535,9,47,127
FALSE,FALSE,38421,38952,531,9,48,125
FALSE,FALSE,39334,39951,617,9,47,122
FALSE,FALSE,40334,40879,545,9,48,127
FALSE,FALSE,41275,41831,556,9,47,127
FALSE,FALSE,42267,42822,555,9,48,127
FALSE,FALSE,43217,43748,531,9,47,104
FALSE,FALSE,44223,44707,484,9,48,127
FALSE,FALSE,45052,45562,510,9,47,114
FALSE,FALSE,46068,46559,491,9,48,127
FALSE,FALSE,47013,47508,495,9,47,111
FALSE,FALSE,48006,48570,564,9,48,127
FALSE,FALSE,48966,49513,547,9,47,72
FALSE,FALSE,49968,50503,535,9,48,127
FALSE,FALSE,50936,51439,503,9,47,98
FALSE,FALSE,51840,52375,535,9,48,123
FALSE,FALSE,52846,53376,530,9,47,107
FALSE,FALSE,53786,54304,518,9,48,127
FALSE,FALSE,54775,55305,530,9,47,127
FALSE,FALSE,55752,56364,612,9,48,127
FALSE,FALSE,56744,57190,446,9,47,120
FALSE,FALSE,57774,58258,484,9,48,127
FALSE,FALSE,58742,59241,499,9,47,96
FALSE,FALSE,59687,60182,495,9,48,125
