sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3672,3919,247,9,48,113
FALSE,FALSE,4623,4888,265,9,47,119
FALSE,FALSE,5665,5890,225,9,48,108
FALSE,FALSE,6661,6917,256,9,48,89
FALSE,FALSE,7628,7864,236,9,48,110
FALSE,FALSE,7746,8010,264,9,47,101
FALSE,FALSE,8622,8880,258,9,48,87
FALSE,FALSE,9521,9783,262,9,48,102
FALSE,FALSE,9690,9940,250,9,47,114
FALSE,FALSE,10512,10789,277,9,48,102
FALSE,FALSE,11465,11698,233,9,48,113
FALSE,FALSE,11590,11854,264,9,47,99
FALSE,FALSE,12412,12662,250,9,48,119
FALSE,FALSE,12546,12818,272,9,47,77
FALSE,FALSE,13360,13630,270,9,48,119
FALSE,FALSE,14344,14596,252,9,48,90
FALSE,FALSE,14491,14724,233,9,47,98
FALSE,FALSE,15305,15562,257,9,48,122
FALSE,FALSE,15421,15689,268,9,47,86
FALSE,FALSE,16290,16558,268,9,48,127
FALSE,FALSE,17204,17472,268,9,48,127
FALSE,FALSE,18150,18430,280,9,48,127
FALSE,FALSE,19086,19340,254,9,48,125
FALSE,FALSE,20058,20303,245,9,48,111
FALSE,FALSE,20972,21273,301,9,48,110
FALSE,FALSE,21118,21371,253,9,47,99
FALSE,FALSE,21941,22219,278,9,48,101
FALSE,FALSE,22957,23242,285,9,48,108
FALSE,FALSE,23914,24204,290,9,48,92
FALSE,FALSE,24845,25117,272,9,48,92
FALSE,FALSE,25821,26079,258,9,48,98
FALSE,FALSE,26747,27027,280,9,48,114
FALSE,FALSE,26902,27171,269,9,47,119
FALSE,FALSE,27728,27993,265,9,48,104
FALSE,FALSE,28762,28988,226,9,48,111
FALSE,FALSE,29737,30014,277,9,48,114
FALSE,FALSE,30688,30958,270,9,48,101
FALSE,FALSE,31697,31923,226,9,48,104
FALSE,FALSE,32718,32980,262,9,48,114
FALSE,FALSE,33670,33945,275,9,47,104
FALSE,FALSE,34592,34855,263,9,48,108
FALSE,FALSE,35533,35759,226,9,48,98
FALSE,FALSE,36531,36784,253,9,48,108
FALSE,FALSE,37445,37690,245,9,47,102
FALSE,FALSE,38318,38602,284,9,48,117
FALSE,FALSE,39235,39507,272,9,47,84
FALSE,FALSE,40170,40434,264,9,48,113
FALSE,FALSE,41019,41282,263,9,48,102
FALSE,FALSE,41949,42218,269,9,48,119
FALSE,FALSE,42883,43155,272,9,47,107
FALSE,FALSE,43759,44035,276,9,48,114
FALSE,FALSE,44650,44903,253,9,47,104
FALSE,FALSE,45580,45849,269,9,48,101
FALSE,FALSE,46513,46777,264,9,47,95
FALSE,FALSE,47480,47721,241,9,48,99
FALSE,FALSE,48397,48651,254,9,47,87
FALSE,FALSE,50253,50523,270,9,48,123
FALSE,FALSE,51177,51428,251,9,48,113
FALSE,FALSE,52141,52397,256,9,48,101
FALSE,FALSE,53026,53303,277,9,47,111
FALSE,FALSE,53918,54172,254,9,48,99
FALSE,FALSE,54832,55077,245,9,48,104
FALSE,FALSE,55777,56045,268,9,48,102
FALSE,FALSE,56704,56951,247,9,48,98
FALSE,FALSE,57612,57863,251,9,48,92
FALSE,FALSE,58535,58768,233,9,48,107
FALSE,FALSE,59485,59734,249,9,48,99
FALSE,FALSE,60381,60639,258,9,47,110
FALSE,FALSE,61261,61511,250,9,48,98
FALSE,FALSE,62143,62416,273,9,47,96
FALSE,FALSE,63035,63295,260,9,48,102
FALSE,FALSE,63974,64253,279,9,48,102
FALSE,FALSE,64873,65108,235,9,47,102
FALSE,FALSE,65718,65977,259,9,48,95
FALSE,FALSE,65853,66127,274,9,47,92
FALSE,FALSE,66656,66885,229,9,47,83
FALSE,FALSE,67501,67754,253,9,47,83
FALSE,FALSE,68383,68660,277,9,48,111
FALSE,FALSE,69260,69529,269,9,48,104
FALSE,FALSE,70136,70409,273,9,47,95
FALSE,FALSE,70979,71256,277,9,48,92
FALSE,FALSE,71822,72063,241,9,48,96
FALSE,FALSE,72642,72906,264,9,47,101
FALSE,FALSE,73477,73754,277,9,47,96
FALSE,FALSE,74326,74582,256,9,48,108
FALSE,FALSE,75212,75496,284,9,48,99
FALSE,FALSE,76025,76301,276,9,48,86
FALSE,FALSE,76948,77212,264,9,48,89
FALSE,FALSE,77836,78126,290,9,47,114
FALSE,FALSE,78716,78995,279,9,48,108
FALSE,FALSE,79609,79865,256,9,48,107
FALSE,FALSE,80473,80712,239,9,47,102
FALSE,FALSE,81308,81581,273,9,47,89
FALSE,FALSE,82183,82456,273,9,47,95
FALSE,FALSE,82999,83269,270,9,47,89
FALSE,FALSE,83861,84140,279,9,47,95
FALSE,FALSE,84680,84947,267,9,47,110
FALSE,FALSE,85564,85824,260,9,48,95
FALSE,FALSE,86411,86673,262,9,48,95
FALSE,FALSE,87273,87543,270,9,47,108
FALSE,FALSE,88077,88358,281,9,47,87
FALSE,FALSE,88982,89269,287,9,48,104
