sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3793,4072,279,9,47,110
FALSE,FALSE,3814,4072,258,9,48,127
FALSE,FALSE,4646,4932,286,9,47,101
FALSE,FALSE,4712,4980,268,9,48,127
FALSE,FALSE,5588,5847,259,9,47,78
FALSE,FALSE,5623,5891,268,9,48,127
FALSE,FALSE,6511,6762,251,9,47,68
FALSE,FALSE,6529,6807,278,9,48,127
FALSE,FALSE,7593,7867,274,9,48,127
FALSE,FALSE,8510,8778,268,9,47,89
FALSE,FALSE,8617,8871,254,9,48,127
FALSE,FALSE,9502,9786,284,9,47,87
FALSE,FALSE,10437,10700,263,9,47,86
FALSE,FALSE,11422,11704,282,9,47,75
FALSE,FALSE,11473,11751,278,9,48,127
FALSE,FALSE,12384,12662,278,9,47,64
FALSE,FALSE,12452,12717,265,9,48,127
FALSE,FALSE,13343,13631,288,9,47,61
FALSE,FALSE,13417,13675,258,9,48,127
FALSE,FALSE,14298,14537,239,9,47,52
FALSE,FALSE,15268,15550,282,9,47,66
FALSE,FALSE,15341,15594,253,9,48,127
FALSE,FALSE,16233,16508,275,9,47,71
FALSE,FALSE,17237,17516,279,9,47,61
FALSE,FALSE,17259,17516,257,9,48,127
FALSE,FALSE,18140,18382,242,9,47,40
FALSE,FALSE,18216,18475,259,9,48,127
FALSE,FALSE,19145,19388,243,9,47,43
FALSE,FALSE,19232,19488,256,9,48,127
FALSE,FALSE,20137,20402,265,9,47,68
FALSE,FALSE,20203,20446,243,9,48,127
FALSE,FALSE,21051,21316,265,9,47,64
FALSE,FALSE,21166,21406,240,9,48,127
FALSE,FALSE,22023,22267,244,9,47,66
FALSE,FALSE,22980,23235,255,9,47,83
FALSE,FALSE,23874,24149,275,9,47,78
FALSE,FALSE,23948,24194,246,9,48,127
FALSE,FALSE,24852,25108,256,9,47,92
FALSE,FALSE,24906,25152,246,9,48,127
FALSE,FALSE,25811,26066,255,9,47,86
FALSE,FALSE,25875,26111,236,9,48,127
FALSE,FALSE,26789,27071,282,9,47,89
FALSE,FALSE,26918,27172,254,9,48,127
FALSE,FALSE,27803,28087,284,9,47,66
FALSE,FALSE,27868,28132,264,9,48,127
FALSE,FALSE,28769,29047,278,9,47,96
FALSE,FALSE,28841,29091,250,9,48,127
FALSE,FALSE,29726,30005,279,9,47,80
FALSE,FALSE,29771,30049,278,9,48,127
FALSE,FALSE,30660,30920,260,9,47,95
FALSE,FALSE,30719,30964,245,9,48,127
FALSE,FALSE,31614,31878,264,9,47,86
FALSE,FALSE,31668,31923,255,9,48,127
FALSE,FALSE,32534,32794,260,9,47,102
FALSE,FALSE,32609,32883,274,9,48,127
FALSE,FALSE,33447,33699,252,9,47,99
FALSE,FALSE,33554,33797,243,9,48,127
FALSE,FALSE,34390,34666,276,9,47,95
FALSE,FALSE,34453,34711,258,9,48,125
FALSE,FALSE,35321,35572,251,9,47,95
FALSE,FALSE,35375,35626,251,9,48,127
FALSE,FALSE,36263,36533,270,9,48,127
FALSE,FALSE,37166,37445,279,9,47,102
FALSE,FALSE,37256,37543,287,9,48,127
FALSE,FALSE,38135,38406,271,9,47,110
FALSE,FALSE,38227,38501,274,9,48,127
FALSE,FALSE,39109,39373,264,9,47,98
FALSE,FALSE,39155,39417,262,9,48,127
FALSE,FALSE,40076,40333,257,9,47,87
FALSE,FALSE,40079,40332,253,9,48,127
FALSE,FALSE,40982,41246,264,9,47,96
FALSE,FALSE,41101,41335,234,9,48,127
FALSE,FALSE,41935,42204,269,9,47,92
FALSE,FALSE,42873,43119,246,9,47,86
FALSE,FALSE,42944,43209,265,9,48,127
FALSE,FALSE,43822,44079,257,9,47,87
FALSE,FALSE,43835,44124,289,9,48,127
FALSE,FALSE,44778,45038,260,9,48,127
FALSE,FALSE,45693,45952,259,9,47,89
FALSE,FALSE,45733,45997,264,9,48,127
FALSE,FALSE,46584,46858,274,9,47,92
FALSE,FALSE,46659,46911,252,9,48,127
FALSE,FALSE,47531,47772,241,9,47,92
FALSE,FALSE,47561,47825,264,9,48,127
FALSE,FALSE,48449,48730,281,9,47,83
FALSE,FALSE,49365,49645,280,9,47,89
FALSE,FALSE,49412,49699,287,9,48,127
FALSE,FALSE,50256,50515,259,9,47,80
FALSE,FALSE,50366,50604,238,9,48,127
FALSE,FALSE,51220,51475,255,9,47,78
FALSE,FALSE,51274,51518,244,9,48,127
FALSE,FALSE,52147,52433,286,9,47,92
FALSE,FALSE,52160,52433,273,9,48,127
FALSE,FALSE,53053,53293,240,9,47,84
FALSE,FALSE,53941,54208,267,9,47,86
FALSE,FALSE,54847,55123,276,9,48,127
FALSE,FALSE,55718,55989,271,9,47,104
FALSE,FALSE,55826,56081,255,9,48,127
FALSE,FALSE,56652,56903,251,9,48,127
FALSE,FALSE,57562,57808,246,9,47,68
FALSE,FALSE,57619,57863,244,9,48,127
FALSE,FALSE,58490,58777,287,9,47,72
FALSE,FALSE,58595,58869,274,9,48,127
FALSE,FALSE,59454,59735,281,9,47,68
FALSE,FALSE,59506,59784,278,9,48,127
FALSE,FALSE,60426,60694,268,9,47,72
FALSE,FALSE,61326,61608,282,9,48,125
FALSE,FALSE,62213,62469,256,9,47,84
FALSE,FALSE,63085,63340,255,9,47,89
FALSE,FALSE,63138,63383,245,9,48,127
FALSE,FALSE,63971,64245,274,9,47,87
FALSE,FALSE,63997,64245,248,9,48,127
FALSE,FALSE,64862,65114,252,9,47,87
FALSE,FALSE,64865,65114,249,9,48,127
FALSE,FALSE,65720,65973,253,9,47,87
FALSE,FALSE,65792,66072,280,9,48,127
FALSE,FALSE,66584,66841,257,9,48,119
FALSE,FALSE,67440,67701,261,9,47,107
FALSE,FALSE,68267,68527,260,9,47,104
FALSE,FALSE,69106,69383,277,9,47,104
FALSE,FALSE,69960,70199,239,9,47,99
FALSE,FALSE,69978,70254,276,9,48,127
FALSE,FALSE,70801,71069,268,9,47,104
FALSE,FALSE,70820,71069,249,9,48,127
FALSE,FALSE,71664,71929,265,9,47,84
FALSE,FALSE,71684,71929,245,9,48,127
FALSE,FALSE,72556,72844,288,9,47,84
FALSE,FALSE,73410,73657,247,9,47,92
FALSE,FALSE,74239,74527,288,9,47,84
FALSE,FALSE,75063,75341,278,9,48,127
FALSE,FALSE,75865,76111,246,9,47,77
FALSE,FALSE,76699,76971,272,9,47,83
FALSE,FALSE,76713,76971,258,9,48,127
FALSE,FALSE,77487,77741,254,9,48,127
FALSE,FALSE,78312,78564,252,9,47,98
FALSE,FALSE,78446,78705,259,9,48,127
FALSE,FALSE,79201,79468,267,9,47,78
FALSE,FALSE,80083,80338,255,9,47,96
FALSE,FALSE,80087,80338,251,9,48,127
FALSE,FALSE,80940,81202,262,9,47,90
FALSE,FALSE,80991,81252,261,9,48,127
FALSE,FALSE,81805,82065,260,9,47,80
FALSE,FALSE,81830,82110,280,9,48,127
FALSE,FALSE,82646,82934,288,9,47,87
FALSE,FALSE,82746,83024,278,9,48,127
FALSE,FALSE,83535,83795,260,9,47,113
FALSE,FALSE,84355,84608,253,9,47,95
FALSE,FALSE,84419,84657,238,9,48,127
FALSE,FALSE,85214,85476,262,9,48,127
FALSE,FALSE,85992,86249,257,9,47,78
FALSE,FALSE,86136,86393,257,9,48,127
FALSE,FALSE,86902,87154,252,9,47,107
FALSE,FALSE,86922,87208,286,9,48,127
FALSE,FALSE,87741,88019,278,9,47,90
FALSE,FALSE,88548,88836,288,9,47,84
FALSE,FALSE,89398,89652,254,9,47,102
FALSE,FALSE,90223,90474,251,9,47,104
FALSE,FALSE,91125,91378,253,9,47,78
FALSE,FALSE,91133,91378,245,9,48,127
FALSE,FALSE,91982,92248,266,9,47,84
FALSE,FALSE,92033,92292,259,9,48,127
FALSE,FALSE,92838,93109,271,9,47,72
FALSE,FALSE,92930,93207,277,9,48,127
FALSE,FALSE,93736,94023,287,9,47,71
FALSE,FALSE,94562,94844,282,9,48,127
FALSE,FALSE,95416,95705,289,9,48,127
FALSE,FALSE,96241,96520,279,9,47,89
FALSE,FALSE,96271,96520,249,9,48,127
FALSE,FALSE,97070,97334,264,9,47,96
FALSE,FALSE,97126,97390,264,9,48,127
FALSE,FALSE,97891,98158,267,9,47,84
FALSE,FALSE,97941,98203,262,9,48,127
FALSE,FALSE,98730,99019,289,9,47,90
FALSE,FALSE,98749,99019,270,9,48,127
FALSE,FALSE,99550,99831,281,9,47,78
FALSE,FALSE,100372,100648,276,9,48,127
FALSE,FALSE,101199,101473,274,9,47,92
FALSE,FALSE,101981,102241,260,9,47,92
FALSE,FALSE,102017,102285,268,9,48,127
FALSE,FALSE,102783,103057,274,9,47,80
FALSE,FALSE,102796,103057,261,9,48,127
FALSE,FALSE,103567,103824,257,9,47,86
FALSE,FALSE,103623,103869,246,9,48,127
FALSE,FALSE,104385,104640,255,9,47,83
FALSE,FALSE,104524,104783,259,9,48,127
FALSE,FALSE,105270,105554,284,9,47,89
FALSE,FALSE,105382,105644,262,9,48,127
FALSE,FALSE,106114,106369,255,9,47,72
FALSE,FALSE,106271,106558,287,9,48,127
FALSE,FALSE,106979,107236,257,9,47,65
FALSE,FALSE,107114,107373,259,9,48,127
FALSE,FALSE,107845,108097,252,9,48,122
FALSE,FALSE,108611,108868,257,9,47,86
FALSE,FALSE,109440,109680,240,9,47,71
FALSE,FALSE,110229,110496,267,9,47,78
FALSE,FALSE,110263,110543,280,9,48,127
FALSE,FALSE,111012,111264,252,9,47,65
FALSE,FALSE,111076,111366,290,9,48,127
FALSE,FALSE,111769,112035,266,9,47,65
FALSE,FALSE,111892,112177,285,9,48,127
FALSE,FALSE,112595,112845,250,9,47,64
FALSE,FALSE,112674,112949,275,9,48,127
