sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,2007,2292,285,9,47,127
FALSE,FALSE,2035,2292,257,9,48,127
FALSE,FALSE,2960,3256,296,9,47,127
FALSE,FALSE,3005,3295,290,9,48,127
FALSE,FALSE,3852,4103,251,9,47,127
FALSE,FALSE,3974,4201,227,9,48,127
FALSE,FALSE,4873,5127,254,9,48,127
FALSE,FALSE,4874,5127,253,9,47,127
FALSE,FALSE,5724,5975,251,9,47,127
FALSE,FALSE,5791,6075,284,9,48,127
FALSE,FALSE,6687,6945,258,9,48,127
FALSE,FALSE,6773,7040,267,9,47,127
FALSE,FALSE,7654,7909,255,9,48,125
FALSE,FALSE,7686,7948,262,9,47,127
FALSE,FALSE,8615,8875,260,9,48,125
FALSE,FALSE,8631,8908,277,9,47,127
FALSE,FALSE,9504,9781,277,9,48,84
FALSE,FALSE,9536,9812,276,9,47,127
FALSE,FALSE,10482,10749,267,9,48,108
FALSE,FALSE,11476,11744,268,9,47,127
FALSE,FALSE,11481,11743,262,9,48,127
FALSE,FALSE,12384,12655,271,9,48,107
FALSE,FALSE,12407,12655,248,9,47,127
FALSE,FALSE,13360,13618,258,9,47,127
FALSE,FALSE,13382,13659,277,9,48,127
FALSE,FALSE,14181,14438,257,9,48,127
FALSE,FALSE,14337,14586,249,9,47,127
FALSE,FALSE,15211,15491,280,9,48,127
FALSE,FALSE,15310,15589,279,9,47,127
FALSE,FALSE,16157,16458,301,9,48,110
FALSE,FALSE,16243,16493,250,9,47,127
FALSE,FALSE,17176,17405,229,9,48,92
FALSE,FALSE,17562,17840,278,9,47,127
FALSE,FALSE,18185,18467,282,9,48,127
FALSE,FALSE,18475,18766,291,9,47,127
FALSE,FALSE,19277,19582,305,9,47,127
FALSE,FALSE,19338,19616,278,9,48,127
FALSE,FALSE,20145,20392,247,9,48,127
FALSE,FALSE,20164,20430,266,9,47,127
FALSE,FALSE,21038,21306,268,9,48,127
FALSE,FALSE,21044,21306,262,9,47,127
FALSE,FALSE,21926,22213,287,9,47,127
FALSE,FALSE,22822,23083,261,9,48,127
FALSE,FALSE,22869,23141,272,9,47,127
FALSE,FALSE,23710,23988,278,9,48,96
FALSE,FALSE,23799,24077,278,9,47,127
FALSE,FALSE,24596,24857,261,9,48,114
FALSE,FALSE,24625,24895,270,9,47,127
FALSE,FALSE,25460,25726,266,9,48,111
FALSE,FALSE,25505,25764,259,9,47,127
FALSE,FALSE,26365,26634,269,9,47,127
FALSE,FALSE,26391,26674,283,9,48,125
FALSE,FALSE,27213,27481,268,9,48,127
FALSE,FALSE,27297,27544,247,9,47,127
FALSE,FALSE,28100,28358,258,9,47,127
FALSE,FALSE,28961,29229,268,9,48,127
FALSE,FALSE,29038,29329,291,9,47,127
FALSE,FALSE,29878,30134,256,9,48,127
FALSE,FALSE,29880,30134,254,9,47,127
FALSE,FALSE,30730,31003,273,9,48,117
FALSE,FALSE,30806,31046,240,9,47,127
FALSE,FALSE,31709,31973,264,9,47,127
FALSE,FALSE,31712,31973,261,9,48,127
FALSE,FALSE,32602,32878,276,9,48,125
FALSE,FALSE,32611,32878,267,9,47,127
FALSE,FALSE,33534,33786,252,9,48,127
FALSE,FALSE,33574,33844,270,9,47,127
FALSE,FALSE,34428,34693,265,9,48,107
FALSE,FALSE,34475,34750,275,9,47,127
FALSE,FALSE,35319,35621,302,9,48,98
FALSE,FALSE,35327,35621,294,9,47,127
FALSE,FALSE,36257,36531,274,9,47,127
FALSE,FALSE,36263,36531,268,9,48,127
FALSE,FALSE,37155,37440,285,9,48,86
FALSE,FALSE,37163,37440,277,9,47,127
FALSE,FALSE,38033,38314,281,9,47,127
FALSE,FALSE,38076,38342,266,9,48,127
FALSE,FALSE,38933,39161,228,9,48,95
FALSE,FALSE,38957,39222,265,9,47,127
FALSE,FALSE,39778,40031,253,9,48,75
FALSE,FALSE,39830,40092,262,9,47,127
FALSE,FALSE,40703,40938,235,9,47,127
FALSE,FALSE,41555,41809,254,9,47,127
FALSE,FALSE,42443,42712,269,9,48,99
FALSE,FALSE,42511,42772,261,9,47,127
FALSE,FALSE,43313,43594,281,9,48,113
FALSE,FALSE,43383,43619,236,9,47,127
FALSE,FALSE,44199,44462,263,9,48,101
FALSE,FALSE,44232,44498,266,9,47,127
FALSE,FALSE,45078,45309,231,9,47,127
FALSE,FALSE,45966,46237,271,9,47,127
FALSE,FALSE,45969,46237,268,9,48,127
FALSE,FALSE,46739,46986,247,9,48,110
FALSE,FALSE,46858,47085,227,9,47,127
FALSE,FALSE,47707,47955,248,9,48,114
FALSE,FALSE,47718,48012,294,9,47,127
FALSE,FALSE,48589,48860,271,9,48,111
FALSE,FALSE,48598,48860,262,9,47,127
