sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,900,1153,253,9,47,16
FALSE,FALSE,1913,2156,243,9,48,84
FALSE,FALSE,1938,2205,267,9,47,78
FALSE,FALSE,2819,3067,248,9,47,92
FALSE,FALSE,2872,3119,247,9,48,90
FALSE,FALSE,3798,4078,280,9,47,87
FALSE,FALSE,3826,4078,252,9,48,96
FALSE,FALSE,4642,4900,258,9,47,86
FALSE,FALSE,4725,4992,267,9,48,87
FALSE,FALSE,5658,5903,245,9,47,84
FALSE,FALSE,5713,5952,239,9,48,96
FALSE,FALSE,6532,6814,282,9,47,99
FALSE,FALSE,6597,6866,269,9,48,89
FALSE,FALSE,7526,7776,250,9,47,101
FALSE,FALSE,7597,7875,278,9,48,96
FALSE,FALSE,8467,8740,273,9,47,89
FALSE,FALSE,8565,8834,269,9,48,104
FALSE,FALSE,9465,9739,274,9,47,92
FALSE,FALSE,9485,9739,254,9,48,84
FALSE,FALSE,10323,10613,290,9,47,83
FALSE,FALSE,10471,10743,272,9,48,87
FALSE,FALSE,11400,11671,271,9,47,89
FALSE,FALSE,11432,11712,280,9,48,80
FALSE,FALSE,12299,12581,282,9,47,95
FALSE,FALSE,12345,12616,271,9,48,78
FALSE,FALSE,13281,13544,263,9,47,84
FALSE,FALSE,13426,13682,256,9,48,80
FALSE,FALSE,14254,14490,236,9,47,74
FALSE,FALSE,14289,14548,259,9,48,95
FALSE,FALSE,15203,15457,254,9,47,83
FALSE,FALSE,15324,15609,285,9,48,84
FALSE,FALSE,16114,16380,266,9,47,80
FALSE,FALSE,16185,16469,284,9,48,80
FALSE,FALSE,17124,17385,261,9,47,87
FALSE,FALSE,17211,17484,273,9,48,90
FALSE,FALSE,18051,18295,244,9,47,80
FALSE,FALSE,18118,18393,275,9,48,71
FALSE,FALSE,19087,19352,265,9,47,87
FALSE,FALSE,19162,19389,227,9,48,57
FALSE,FALSE,20043,20315,272,9,47,89
FALSE,FALSE,20074,20356,282,9,48,55
FALSE,FALSE,21058,21319,261,9,47,80
FALSE,FALSE,21072,21319,247,9,48,25
FALSE,FALSE,22001,22287,286,9,47,84
FALSE,FALSE,22042,22287,245,9,48,42
FALSE,FALSE,22982,23233,251,9,47,83
FALSE,FALSE,22995,23233,238,9,48,65
FALSE,FALSE,23847,24102,255,9,47,78
FALSE,FALSE,23887,24159,272,9,48,55
FALSE,FALSE,24828,25106,278,9,48,74
FALSE,FALSE,24892,25163,271,9,47,78
FALSE,FALSE,25788,26074,286,9,47,74
FALSE,FALSE,25836,26074,238,9,48,74
FALSE,FALSE,26774,27037,263,9,47,71
FALSE,FALSE,26790,27037,247,9,48,89
FALSE,FALSE,27710,28000,290,9,47,89
FALSE,FALSE,27748,28000,252,9,48,63
FALSE,FALSE,28688,28960,272,9,47,92
FALSE,FALSE,28742,28999,257,9,48,74
FALSE,FALSE,29598,29874,276,9,47,84
FALSE,FALSE,29687,29963,276,9,48,46
FALSE,FALSE,30650,30931,281,9,47,64
FALSE,FALSE,30652,30931,279,9,48,77
FALSE,FALSE,31582,31837,255,9,47,84
FALSE,FALSE,31882,32180,298,9,48,28
FALSE,FALSE,32555,32805,250,9,47,84
FALSE,FALSE,32562,32844,282,9,48,52
FALSE,FALSE,33452,33710,258,9,48,75
FALSE,FALSE,33477,33749,272,9,47,83
FALSE,FALSE,34382,34679,297,9,48,55
FALSE,FALSE,34444,34719,275,9,47,83
FALSE,FALSE,35334,35583,249,9,47,86
FALSE,FALSE,35386,35624,238,9,48,54
FALSE,FALSE,36242,36494,252,9,47,78
FALSE,FALSE,36290,36543,253,9,48,55
FALSE,FALSE,37144,37400,256,9,47,72
FALSE,FALSE,37156,37400,244,9,48,55
FALSE,FALSE,38015,38270,255,9,47,87
FALSE,FALSE,38088,38367,279,9,48,71
FALSE,FALSE,38911,39181,270,9,48,78
FALSE,FALSE,38916,39181,265,9,47,89
FALSE,FALSE,39785,40053,268,9,48,43
FALSE,FALSE,39844,40102,258,9,47,74
FALSE,FALSE,40663,40914,251,9,47,90
FALSE,FALSE,40755,41016,261,9,48,72
FALSE,FALSE,41561,41829,268,9,47,83
FALSE,FALSE,41592,41868,276,9,48,66
FALSE,FALSE,42427,42699,272,9,47,84
