sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,2848,3116,268,9,47,127
FALSE,FALSE,2852,3116,264,9,48,127
FALSE,FALSE,3775,4030,255,9,47,71
FALSE,FALSE,4769,5042,273,9,48,127
FALSE,FALSE,4782,5042,260,9,47,127
FALSE,FALSE,5711,6001,290,9,48,4
FALSE,FALSE,6660,6915,255,9,47,127
FALSE,FALSE,6742,7004,262,9,48,127
FALSE,FALSE,8544,8832,288,9,47,114
FALSE,FALSE,8606,8877,271,9,48,127
FALSE,FALSE,9538,9791,253,9,47,110
FALSE,FALSE,10484,10752,268,9,47,110
FALSE,FALSE,10539,10806,267,9,48,127
FALSE,FALSE,11497,11768,271,9,47,107
FALSE,FALSE,12478,12727,249,9,48,127
FALSE,FALSE,13467,13730,263,9,48,21
FALSE,FALSE,14351,14600,249,9,47,117
FALSE,FALSE,14389,14644,255,9,48,127
FALSE,FALSE,15320,15603,283,9,47,87
FALSE,FALSE,16233,16518,285,9,47,102
FALSE,FALSE,16260,16518,258,9,48,127
FALSE,FALSE,17168,17433,265,9,48,4
FALSE,FALSE,18110,18393,283,9,48,127
FALSE,FALSE,19054,19306,252,9,48,27
FALSE,FALSE,20040,20309,269,9,47,127
FALSE,FALSE,20079,20364,285,9,48,127
FALSE,FALSE,21074,21323,249,9,48,19
FALSE,FALSE,22042,22326,284,9,48,127
FALSE,FALSE,22055,22326,271,9,47,127
FALSE,FALSE,23000,23286,286,9,48,19
FALSE,FALSE,23920,24201,281,9,48,127
FALSE,FALSE,23985,24248,263,9,47,127
FALSE,FALSE,24921,25163,242,9,47,123
FALSE,FALSE,25851,26122,271,9,48,127
FALSE,FALSE,26779,27035,256,9,48,30
FALSE,FALSE,26897,27179,282,9,47,127
FALSE,FALSE,27833,28093,260,9,48,127
FALSE,FALSE,27839,28093,254,9,47,127
FALSE,FALSE,28804,29052,248,9,47,119
FALSE,FALSE,29734,30010,276,9,47,120
FALSE,FALSE,29758,30010,252,9,48,127
FALSE,FALSE,30683,30927,244,9,48,9
FALSE,FALSE,31573,31841,268,9,48,127
FALSE,FALSE,31612,31885,273,9,47,127
FALSE,FALSE,32489,32755,266,9,47,111
FALSE,FALSE,33401,33661,260,9,47,127
FALSE,FALSE,33404,33660,256,9,48,127
FALSE,FALSE,34262,34530,268,9,47,52
FALSE,FALSE,35067,35343,276,9,48,127
FALSE,FALSE,35120,35393,273,9,47,127
FALSE,FALSE,35914,36158,244,9,47,12
FALSE,FALSE,36699,36976,277,9,48,127
FALSE,FALSE,36714,36976,262,9,47,127
FALSE,FALSE,37467,37742,275,9,48,34
FALSE,FALSE,38237,38511,274,9,47,127
FALSE,FALSE,38291,38566,275,9,48,127
FALSE,FALSE,39030,39280,250,9,48,40
FALSE,FALSE,39813,40097,284,9,47,127
FALSE,FALSE,39817,40097,280,9,48,127
FALSE,FALSE,40642,40918,276,9,47,113
FALSE,FALSE,41467,41734,267,9,47,125
FALSE,FALSE,41469,41734,265,9,48,127
FALSE,FALSE,42270,42550,280,9,48,21
FALSE,FALSE,43009,43273,264,9,48,127
FALSE,FALSE,43044,43317,273,9,47,127
FALSE,FALSE,43760,44041,281,9,47,72
FALSE,FALSE,44502,44757,255,9,47,127
FALSE,FALSE,44569,44856,287,9,48,127
FALSE,FALSE,45373,45625,252,9,48,46
FALSE,FALSE,46126,46396,270,9,48,127
FALSE,FALSE,46149,46396,247,9,47,127
FALSE,FALSE,46931,47211,280,9,47,61
FALSE,FALSE,47682,47925,243,9,48,127
FALSE,FALSE,47702,47979,277,9,47,127
FALSE,FALSE,49193,49464,271,9,48,127
FALSE,FALSE,50643,50901,258,9,48,127
FALSE,FALSE,50653,50901,248,9,47,127
FALSE,FALSE,51382,51627,245,9,48,120
FALSE,FALSE,52075,52349,274,9,47,127
FALSE,FALSE,52147,52394,247,9,48,127
FALSE,FALSE,52873,53115,242,9,47,34
FALSE,FALSE,53647,53935,288,9,47,127
FALSE,FALSE,53663,53935,272,9,48,127
FALSE,FALSE,55084,55374,290,9,48,127
FALSE,FALSE,55797,56042,245,9,48,71
FALSE,FALSE,56449,56712,263,9,47,114
FALSE,FALSE,56492,56767,275,9,48,127
FALSE,FALSE,57194,57479,285,9,48,66
FALSE,FALSE,57903,58153,250,9,47,122
FALSE,FALSE,57960,58207,247,9,48,127
FALSE,FALSE,58771,59019,248,9,48,3
FALSE,FALSE,59424,59691,267,9,47,127
FALSE,FALSE,59441,59691,250,9,48,127
FALSE,FALSE,60177,60415,238,9,48,39
FALSE,FALSE,60872,61138,266,9,47,123
FALSE,FALSE,60930,61186,256,9,48,127
FALSE,FALSE,61666,61954,288,9,47,9
FALSE,FALSE,62450,62722,272,9,47,127
FALSE,FALSE,62455,62722,267,9,48,127
FALSE,FALSE,63186,63437,251,9,47,101
FALSE,FALSE,63938,64207,269,9,47,122
FALSE,FALSE,63952,64207,255,9,48,127
FALSE,FALSE,64673,64933,260,9,48,75
FALSE,FALSE,65394,65647,253,9,47,120
FALSE,FALSE,65539,65790,251,9,48,127
FALSE,FALSE,66267,66517,250,9,47,90
FALSE,FALSE,66945,67185,240,9,48,127
FALSE,FALSE,67025,67284,259,9,47,125
FALSE,FALSE,67705,67953,248,9,47,89
FALSE,FALSE,68343,68622,279,9,48,127
FALSE,FALSE,69021,69298,277,9,48,27
FALSE,FALSE,69655,69922,267,9,48,127
FALSE,FALSE,69709,69973,264,9,47,125
FALSE,FALSE,70394,70643,249,9,48,3
FALSE,FALSE,70980,71267,287,9,48,127
FALSE,FALSE,71661,71936,275,9,47,42
FALSE,FALSE,72316,72561,245,9,47,127
FALSE,FALSE,72336,72615,279,9,48,127
FALSE,FALSE,72971,73240,269,9,47,25
FALSE,FALSE,73669,73957,288,9,47,114
FALSE,FALSE,73726,74010,284,9,48,127
FALSE,FALSE,74372,74635,263,9,48,33
FALSE,FALSE,75037,75303,266,9,47,113
FALSE,FALSE,75142,75403,261,9,48,127
FALSE,FALSE,75800,76071,271,9,47,72
FALSE,FALSE,76365,76652,287,9,48,127
FALSE,FALSE,76497,76744,247,9,47,95
FALSE,FALSE,77110,77369,259,9,48,33
FALSE,FALSE,77758,78036,278,9,47,108
FALSE,FALSE,77811,78092,281,9,48,127
FALSE,FALSE,79102,79386,284,9,48,127
FALSE,FALSE,79740,80010,270,9,47,33
FALSE,FALSE,80375,80634,259,9,47,127
FALSE,FALSE,80422,80679,257,9,48,127
