sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3874,4435,561,9,47,123
FALSE,FALSE,5044,5608,564,9,48,127
FALSE,FALSE,6931,7426,495,9,48,117
FALSE,FALSE,8453,8987,534,9,47,117
FALSE,FALSE,10470,10992,522,9,47,113
FALSE,FALSE,10493,11047,554,9,48,127
FALSE,FALSE,12295,12804,509,9,48,127
FALSE,FALSE,13354,13856,502,9,47,77
FALSE,FALSE,14257,14792,535,9,48,127
FALSE,FALSE,16174,16727,553,9,48,127
FALSE,FALSE,17984,18537,553,9,48,127
FALSE,FALSE,18180,18783,603,9,47,127
FALSE,FALSE,19874,20408,534,9,48,125
FALSE,FALSE,21568,22104,536,9,48,127
FALSE,FALSE,21902,22414,512,9,47,127
FALSE,FALSE,23345,23848,503,9,48,123
FALSE,FALSE,23815,24338,523,9,47,127
FALSE,FALSE,25075,25587,512,9,48,127
FALSE,FALSE,25771,26275,504,9,47,127
FALSE,FALSE,26968,27524,556,9,48,127
FALSE,FALSE,27731,28281,550,9,47,127
FALSE,FALSE,28851,29415,564,9,48,123
FALSE,FALSE,29727,30271,544,9,47,127
FALSE,FALSE,30753,31270,517,9,48,120
FALSE,FALSE,31556,32090,534,9,47,119
FALSE,FALSE,32544,33081,537,9,48,127
FALSE,FALSE,33443,33947,504,9,47,120
FALSE,FALSE,34326,34821,495,9,48,127
FALSE,FALSE,35255,35757,502,9,47,120
FALSE,FALSE,36106,36637,531,9,48,127
FALSE,FALSE,37039,37574,535,9,47,101
FALSE,FALSE,37871,38332,461,9,48,127
FALSE,FALSE,38772,39323,551,9,47,123
FALSE,FALSE,39580,40192,612,9,48,127
FALSE,FALSE,40545,41065,520,9,47,120
FALSE,FALSE,41439,42002,563,9,48,127
FALSE,FALSE,42330,42879,549,9,47,127
FALSE,FALSE,43218,43758,540,9,48,127
FALSE,FALSE,44097,44573,476,9,47,125
FALSE,FALSE,44926,45456,530,9,48,127
FALSE,FALSE,45821,46437,616,9,47,127
FALSE,FALSE,46800,47310,510,9,48,127
FALSE,FALSE,47663,48140,477,9,47,127
FALSE,FALSE,48544,49006,462,9,48,127
FALSE,FALSE,49376,49878,502,9,47,127
FALSE,FALSE,50268,50860,592,9,48,127
FALSE,FALSE,51162,51701,539,9,47,127
FALSE,FALSE,51985,52505,520,9,48,127
FALSE,FALSE,52949,53441,492,9,47,127
FALSE,FALSE,53761,54312,551,9,48,127
FALSE,FALSE,54670,55179,509,9,47,111
FALSE,FALSE,55561,56123,562,9,48,127
FALSE,FALSE,56432,56989,557,9,47,127
FALSE,FALSE,57320,57863,543,9,48,127
FALSE,FALSE,58215,58748,533,9,47,127
FALSE,FALSE,59070,59604,534,9,48,127
FALSE,FALSE,59909,60442,533,9,47,117
FALSE,FALSE,60801,61296,495,9,48,127
FALSE,FALSE,61688,62182,494,9,47,102
FALSE,FALSE,62540,63040,500,9,48,127
FALSE,FALSE,63437,63996,559,9,47,127
FALSE,FALSE,64306,64858,552,9,48,127
FALSE,FALSE,65215,65733,518,9,47,104
FALSE,FALSE,66062,66606,544,9,48,127
FALSE,FALSE,66973,67473,500,9,47,107
