sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,459,1015,556,9,48,127
FALSE,FALSE,1995,2493,498,9,48,127
FALSE,FALSE,2889,3429,540,9,47,127
FALSE,FALSE,3862,4386,524,9,48,114
FALSE,FALSE,4839,5366,527,9,47,127
FALSE,FALSE,5908,6420,512,9,48,127
FALSE,FALSE,6723,7258,535,9,47,127
FALSE,FALSE,7748,8313,565,9,48,127
FALSE,FALSE,8641,9182,541,9,47,127
FALSE,FALSE,9624,10165,541,9,48,127
FALSE,FALSE,10601,11122,521,9,47,127
FALSE,FALSE,11585,12058,473,9,48,117
FALSE,FALSE,12504,13053,549,9,47,127
FALSE,FALSE,13612,14110,498,9,48,102
FALSE,FALSE,14391,14982,591,9,47,127
FALSE,FALSE,15428,15921,493,9,48,110
FALSE,FALSE,16299,16856,557,9,47,127
FALSE,FALSE,17325,17858,533,9,48,107
FALSE,FALSE,18225,18671,446,9,47,127
FALSE,FALSE,19173,19669,496,9,48,113
FALSE,FALSE,20037,20543,506,9,47,127
FALSE,FALSE,21139,21672,533,9,48,120
FALSE,FALSE,21992,22542,550,9,47,127
FALSE,FALSE,23084,23613,529,9,48,104
FALSE,FALSE,23943,24466,523,9,47,127
FALSE,FALSE,25001,25536,535,9,48,107
FALSE,FALSE,25892,26400,508,9,47,117
FALSE,FALSE,26858,27454,596,9,48,98
FALSE,FALSE,27842,28295,453,9,47,123
FALSE,FALSE,28836,29347,511,9,48,110
FALSE,FALSE,29711,30220,509,9,47,125
FALSE,FALSE,30777,31283,506,9,48,114
FALSE,FALSE,31751,32269,518,9,47,127
FALSE,FALSE,32689,33209,520,9,48,114
FALSE,FALSE,33606,34145,539,9,47,127
FALSE,FALSE,34688,35216,528,9,48,117
FALSE,FALSE,35567,36102,535,9,47,127
FALSE,FALSE,36637,37154,517,9,48,104
FALSE,FALSE,37552,38091,539,9,47,127
FALSE,FALSE,38588,39142,554,9,48,89
FALSE,FALSE,39491,40026,535,9,47,127
FALSE,FALSE,40605,41192,587,9,48,123
FALSE,FALSE,41575,42032,457,9,47,127
FALSE,FALSE,42541,43084,543,9,48,123
FALSE,FALSE,43548,44083,535,9,47,127
FALSE,FALSE,44627,45135,508,9,48,110
FALSE,FALSE,45499,46009,510,9,47,127
FALSE,FALSE,46584,47148,564,9,48,119
FALSE,FALSE,47509,48006,497,9,47,127
FALSE,FALSE,48541,49076,535,9,48,123
FALSE,FALSE,49588,50132,544,9,47,107
FALSE,FALSE,50503,51070,567,9,48,117
FALSE,FALSE,51548,52018,470,9,47,113
FALSE,FALSE,52491,52999,508,9,48,110
FALSE,FALSE,53400,53952,552,9,47,127
FALSE,FALSE,54450,55005,555,9,48,122
FALSE,FALSE,55384,55942,558,9,47,113
FALSE,FALSE,56531,57012,481,9,48,111
FALSE,FALSE,57450,57992,542,9,47,114
FALSE,FALSE,58438,58945,507,9,48,96
FALSE,FALSE,59419,59927,508,9,47,120
FALSE,FALSE,60475,60935,460,9,48,127
FALSE,FALSE,61256,61820,564,9,47,123
FALSE,FALSE,62451,62988,537,9,48,122
FALSE,FALSE,63379,63924,545,9,47,127
FALSE,FALSE,64371,64923,552,9,48,111
FALSE,FALSE,65271,65750,479,9,47,123
FALSE,FALSE,66266,66817,551,9,48,119
FALSE,FALSE,67265,67798,533,9,47,127
FALSE,FALSE,68246,68741,495,9,48,127
FALSE,FALSE,69085,69608,523,9,47,127
FALSE,FALSE,70175,70743,568,9,48,119
FALSE,FALSE,71220,71730,510,9,47,127
FALSE,FALSE,72118,72668,550,9,48,117
FALSE,FALSE,73145,73670,525,9,47,117
FALSE,FALSE,74102,74604,502,9,48,104
FALSE,FALSE,75109,75673,564,9,47,122
FALSE,FALSE,76093,76612,519,9,48,122
FALSE,FALSE,77149,77663,514,9,47,119
FALSE,FALSE,78144,78662,518,9,48,125
FALSE,FALSE,79115,79715,600,9,47,127
FALSE,FALSE,80016,80551,535,9,48,114
FALSE,FALSE,81087,81608,521,9,47,119
FALSE,FALSE,82041,82589,548,9,48,71
FALSE,FALSE,82958,83459,501,9,47,127
FALSE,FALSE,84036,84597,561,9,48,107
FALSE,FALSE,84929,85470,541,9,47,127
FALSE,FALSE,85986,86525,539,9,48,120
FALSE,FALSE,86888,87408,520,9,47,113
FALSE,FALSE,87952,88455,503,9,48,114
FALSE,FALSE,88830,89289,459,9,47,98
FALSE,FALSE,89958,90464,506,9,48,117
FALSE,FALSE,90981,91518,537,9,47,120
FALSE,FALSE,91846,92400,554,9,48,102
FALSE,FALSE,92856,93454,598,9,47,113
FALSE,FALSE,93849,94390,541,9,48,111
FALSE,FALSE,94812,95347,535,9,47,123
FALSE,FALSE,95853,96396,543,9,48,110
FALSE,FALSE,96767,97269,502,9,47,119
FALSE,FALSE,97794,98336,542,9,48,117
FALSE,FALSE,98807,99272,465,9,47,123
FALSE,FALSE,99721,100260,539,9,48,120
FALSE,FALSE,100780,101324,544,9,47,113
FALSE,FALSE,101727,102263,536,9,48,114
FALSE,FALSE,102728,103248,520,9,47,119
FALSE,FALSE,103645,104185,540,9,48,114
FALSE,FALSE,104625,105141,516,9,47,122
FALSE,FALSE,105580,106120,540,9,48,117
